source,target
LeuO,RcsB-BglJ
LeuO,YjjQ
LeuO,LeuO
Fnr,Fnr
Fnr,GadW
Fnr,GadX
Fnr,Nac
Fnr,SoxR
Fnr,SoxS
Fnr,ArcA
EcpR,FlhDC
EcpR,FliA
EcpR,FliZ
EcpR,EcpR
RcsB-BglJ,LeuO
ZraR,ZraR
ZraR,GadW
ZraR,RpoH
ZraR,FliA
BolA,CsgD
FliA,FliA
FliA,FliZ
