Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Effectors
DNA-binding transcriptional dual regulator IscR,IscR,iscR,b2531,iscR,TF,a [2Fe-2S] iron-sulfur cluster
DNA-binding transcriptional repressor KdgR,KdgR,kdgR,b1827,kdgR,TF,
DNA-binding transcriptional activator KdpE-phosphorylated,KdpE,kdpE,b0694,kdpE,TF,phosphate
DNA-binding transcriptional repressor LacI,LacI,lacI,b0345,lacI,TF,allolactose
DNA-binding transcriptional dual regulator LeuO,LeuO,leuO,b0076,leuO,TF,
DNA-binding transcriptional repressor LexA,LexA,lexA,b4043,lexA,TF,
DNA-binding transcriptional dual regulator LldR,LldR,lldR,b3604,lldR,TF,(<i>S</i>)-lactate
DNA-binding transcriptional dual regulator LrhA,LrhA,lrhA,b2289,lrhA,TF,
DNA-binding transcriptional dual regulator Lrp,Lrp,lrp,b0889,lrp,TF,L-leucine
DNA-binding transcriptional repressor LsrR,LsrR,lsrR,b1512,lsrR,TF,
DNA-binding transcriptional dual regulator LysR,LysR,lysR,b2839,lysR,TF,
DNA-binding transcriptional repressor MalI,MalI,malI,b1620,malI,TF,
DNA-binding transcriptional activator MalT-maltotriose-ATP,MalT,malT,b3418,malT,TF,maltotriose
DNA-binding transcriptional dual regulator MarA,MarA,marA,b1531,marA,TF,
DNA-binding transcriptional repressor MarR,MarR,marR,b1530,marR,TF,
antitoxin of the MazF-MazE toxin-antitoxin system MazE,MazE,mazE,b2783,mazE,TF,
MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor,MazE-MazF,"mazF,mazE","b2782,b2783","mazF,mazE",TF,
DNA-binding transcriptional dual regulator McbR,McbR,mcbR,b1450,mcbR,TF,
DNA-binding transcriptional dual regulator MelR,MelR,melR,b4118,melR,TF,melibiose
DNA-binding transcriptional repressor MetJ-<i>S</i>-adenosyl-L-methionine,MetJ,metJ,b3938,metJ,TF,<i>S</i>-adenosyl-L-methionine
DNA-binding transcriptional dual regulator MetR,MetR,metR,b3828,metR,TF,L-homocysteine
DNA-binding transcriptional activator MhpR-3-(3-hydroxyphenyl)propanoate,MhpR,mhpR,b0346,mhpR,TF,3-(3-hydroxyphenyl)propanoate
DNA-binding transcriptional repressor Mlc,Mlc,mlc,b1594,mlc,TF,
DNA-binding transcriptional activator MlrA,MlrA,mlrA,b2127,mlrA,TF,
DNA-binding transcriptional repressor MngR,MngR,mngR,b0730,mngR,TF,
MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator,MntR,mntR,b0817,mntR,TF,Mn<SUP>2+</SUP>
DNA-binding transcriptional dual regulator ModE-molybdate,ModE,modE,b0761,modE,TF,molybdate
DNA-binding transcriptional repressor MprA,MprA,mprA,b2684,mprA,TF,"2,4-dinitrophenol // carbonylcyanide <i>m</i>-chlorophenylhydrazone // salicylate"
antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,MqsA,mqsA,b3021,mqsA,TF,
DNA-binding transcriptional repressor MraZ,MraZ,mraZ,b0081,mraZ,TF,
DNA-binding transcriptional dual regulator MurR,MurR,murR,b2427,murR,TF,
DNA-binding transcriptional dual regulator Nac,Nac,nac,b1988,nac,TF,
DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,NadR,nadR,b4390,nadR,TF,Mg<SUP>2+</SUP>
DNA-binding transcriptional dual regulator NagC,NagC,nagC,b0676,nagC,TF,<i>N</i>-acetyl-D-glucosamine 6-phosphate
DNA-binding transcriptional dual regulator NanR,NanR,nanR,b3226,nanR,TF,<i>N</i>-acetylneuraminate
DNA-binding transcriptional dual regulator NarL-phosphorylated,NarL,narL,b1221,narL,TF,phosphate
DNA-binding transcriptional dual regulator NarP-phosphorylated,NarP,narP,b2193,narP,TF,phosphate
DNA-binding transcriptional repressor NemR,NemR,nemR,b1649,nemR,TF,methylglyoxal
DNA-binding transcriptional repressor NfeR,NfeR,nfeR,b3071,nfeR,TF,Ni<sup>2+</sup>
NhaR-Na<SUP>+</SUP> DNA-binding transcriptional activator,NhaR,nhaR,b0020,nhaR,TF,Na<SUP>+</SUP>
DNA-binding transcriptional repressor NikR-Ni<SUP>2+</SUP>,NikR,nikR,b3481,nikR,TF,Ni<sup>2+</sup>
DNA-binding transcriptional repressor NimR,NimR,nimR,b1790,nimR,TF,
DNA-binding transcriptional dual regulator NorR,NorR,norR,b2709,norR,TF,
NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor,NrdR,nrdR,b0413,nrdR,TF,Zn<SUP>2+</SUP>
DNA-binding transcriptional dual regulator NsrR,NsrR,nsrR,b4178,nsrR,TF,
DNA-binding transcriptional dual regulator NtrC-phosphorylated,NtrC,glnG,b3868,glnG,TF,phosphate
DNA-binding transcriptional dual regulator OmpR-phosphorylated,OmpR,ompR,b3405,ompR,TF,phosphate
DNA-binding transcriptional dual regulator OxyR,OxyR,oxyR,b3961,oxyR,TF,
DNA-binding transcriptional repressor PaaX,PaaX,paaX,b1399,paaX,TF,
DNA-binding transcriptional dual regulator/c-di-GMP phosphodiesterase PdeL,PdeL,pdeL,b0315,pdeL,TF,Mn<SUP>2+</SUP> // Mg<SUP>2+</SUP> // Ca<SUP>2+</SUP>
DNA-binding transcriptional dual regulator PdhR,PdhR,pdhR,b0113,pdhR,TF,pyruvate
