Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Regulated,Regulated_Bnb,Inhibited,Inhibited_Bnb,Activated,Activated_Bnb
DNA-binding transcriptional dual regulator H-NS,H-NS,hns,b1237,hns,TF,"cycA,pagP,gadC,cbpA,ascG,iraP,gadB,ascF,glvC,adiC,ddlA,pdeL,malH,malG,malF,malE,csgG,csgF,csgE,csgD,mdtU,mdtJ,mdtI,cspA,fau,ssrS,nrdG,nrdD,yfaE,nrdA,nrdB,caiE,caiD,caiC,caiB,caiA,caiT,lrp,adeD,evgS,evgA,hdfR,yhiM,adiY,ydeO,gadF,mdtF,mdtE,gadE,ydeP,cadC,rcsB,rcsD,dctR,slp,casA,casB,casC,casD,casE,cas1,cas2,ftnA,asr,acrE,acrF,dps,yjjP,bglJ,yjjQ,leuO,srlA,srlE,srlB,srlD,gutM,srlR,gutQ,rnpB,garK,garR,garL,garP,cysM,cysA,cysW,cysU,cysP,hisP,hisM,hisQ,hisJ,ybdZ,fes,entF,fepE,yciE,yciF,yciG,appY,rrfF,thrV,rrfD,rrlD,alaU,ileU,rrsD,rrfH,rrlH,alaV,ileV,rrsH,rrfG,rrlG,gltW,rrsG,rrfC,rrlC,gltU,rrsC,fliX,fliC,gadW,chiA,gabP,gabT,gabD,lhgD,glaH,bglB,bglF,bglG,hdeD,cadA,cadB,nhaR,nhaA,hns,rcsA,cspD,osmC,flhC,flhD,adiA,gspB,gspA,gspO,gspM,gspL,gspK,gspJ,gspI,gspH,gspG,gspF,gspE,gspD,gspC,stpA,tcyJ,fliZ,fliA,micF,caiF,csiE,fimE,fimD,fimH,fimG,fimF,fimC,fimI,fimA,fimB,mukB,mukE,mukF,cmoM,rrfB,rrlB,gltT,rrsB,cydB,cydA,gadX,gadA,hlyE,degP,bolA,proX,proW,proV,yhiD,hdeB,hdeA,lacA,lacY,lacZ,galM,galK,galT,galE,mazF,mazE,relA,hchA,nirB,nirD,nirC,cysG,ilvI,ilvH","b4208,b0622,b1492,b1000,b2714,b0382,b1493,b2715,b3683,b4115,b0381,b0315,b4807,b4032,b4033,b4034,b1037,b1038,b1039,b1040,b4777,b1600,b1599,b3556,b2912,b2911,b4237,b4238,b2236,b2234,b2235,b0035,b0036,b0037,b0038,b0039,b0040,b0889,b3665,b2370,b2369,b4480,b3491,b4116,b1499,b4718,b3514,b3513,b3512,b1501,b4133,b2217,b2216,b3507,b3506,b2760,b2759,b2758,b2757,b2756,b2755,b2754,b1905,b1597,b3265,b3266,b0812,b4364,b4366,b4365,b0076,b2702,b2703,b2704,b2705,b2706,b2707,b2708,b3123,b3124,b3125,b3126,b3127,b2421,b2422,b2423,b2424,b2425,b2306,b2307,b2308,b2309,b4511,b0585,b0586,b0587,b1257,b1258,b1259,b0564,b3272,b3273,b3274,b3275,b3276,b3277,b3278,b0205,b0204,b0203,b0202,b0201,b2588,b2589,b2590,b2591,b3759,b3758,b3757,b3756,b4827,b1923,b3515,b3338,b2663,b2662,b2661,b2660,b2659,b3721,b3722,b3723,b3511,b4131,b4132,b0020,b0019,b1237,b1951,b0880,b1482,b1891,b1892,b4117,b3322,b3323,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b2669,b1920,b1921,b1922,b4439,b0034,b2535,b4313,b4317,b4320,b4319,b4318,b4316,b4315,b4314,b4312,b0924,b0923,b0922,b0921,b3971,b3970,b3969,b3968,b0734,b0733,b3516,b3517,b1182,b0161,b0435,b2679,b2678,b2677,b3508,b3509,b3510,b0342,b0343,b0344,b0756,b0757,b0758,b0759,b2782,b2783,b2784,b1967,b3365,b3366,b3367,b3368,b0077,b0078","pagP,gadC,cbpA,ascG,iraP,gadB,ascF,glvC,adiC,ddlA,pdeL,csgG,csgF,csgE,csgD,mdtU,mdtJ,mdtI,cspA,fau,ssrS,nrdG,nrdD,yfaE,nrdA,nrdB,caiE,caiD,caiC,caiB,caiA,caiT,lrp,adeD,evgS,evgA,hdfR,yhiM,adiY,ydeO,gadF,mdtF,mdtE,gadE,ydeP,cadC,rcsB,rcsD,dctR,slp,casA,casB,casC,casD,casE,cas1,cas2,ftnA,asr,acrE,acrF,dps,yjjP,bglJ,yjjQ,leuO,rnpB,garK,garR,garL,garP,cysM,cysA,cysW,cysU,cysP,hlyE,yciE,yciF,yciG,appY,rrfF,thrV,rrfD,rrlD,alaU,ileU,rrsD,rrfH,rrlH,alaV,ileV,rrsH,rrfG,rrlG,gltW,rrsG,rrfC,rrlC,gltU,rrsC,gadW,chiA,bglB,bglF,bglG,hdeD,cadA,cadB,nhaR,nhaA,hns,rcsA,osmC,adiA,gspB,gspA,gspO,gspM,gspL,gspK,gspJ,gspI,gspH,gspG,gspF,gspE,gspD,gspC,stpA,micF,caiF,fimE,fimB,rrfB,rrlB,gltT,rrsB,cydB,cydA,gadX,gadA,degP,bolA,proX,proW,proV,yhiD,hdeB,hdeA,lacA,lacY,lacZ,galM,galK,galT,galE,hchA,nirB,nirD,nirC,cysG,ilvI,ilvH","b0622,b1492,b1000,b2714,b0382,b1493,b2715,b3683,b4115,b0381,b0315,b1037,b1038,b1039,b1040,b4777,b1600,b1599,b3556,b2912,b2911,b4237,b4238,b2236,b2234,b2235,b0035,b0036,b0037,b0038,b0039,b0040,b0889,b3665,b2370,b2369,b4480,b3491,b4116,b1499,b4718,b3514,b3513,b3512,b1501,b4133,b2217,b2216,b3507,b3506,b2760,b2759,b2758,b2757,b2756,b2755,b2754,b1905,b1597,b3265,b3266,b0812,b4364,b4366,b4365,b0076,b3123,b3124,b3125,b3126,b3127,b2421,b2422,b2423,b2424,b2425,b1182,b1257,b1258,b1259,b0564,b3272,b3273,b3274,b3275,b3276,b3277,b3278,b0205,b0204,b0203,b0202,b0201,b2588,b2589,b2590,b2591,b3759,b3758,b3757,b3756,b3515,b3338,b3721,b3722,b3723,b3511,b4131,b4132,b0020,b0019,b1237,b1951,b1482,b4117,b3322,b3323,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b2669,b4439,b0034,b4313,b4312,b3971,b3970,b3969,b3968,b0734,b0733,b3516,b3517,b0161,b0435,b2679,b2678,b2677,b3508,b3509,b3510,b0342,b0343,b0344,b0756,b0757,b0758,b0759,b1967,b3365,b3366,b3367,b3368,b0077,b0078","cycA,malH,malG,malF,malE,srlA,srlE,srlB,srlD,gutM,srlR,gutQ,hisP,hisM,hisQ,hisJ,ybdZ,fes,entF,fepE,fliX,fliC,gabP,gabT,gabD,lhgD,glaH,cspD,flhC,flhD,tcyJ,fliZ,fliA,csiE,fimD,fimH,fimG,fimF,fimC,fimI,fimA,mukB,mukE,mukF,cmoM,hlyE,mazF,mazE,relA","b4208,b4807,b4032,b4033,b4034,b2702,b2703,b2704,b2705,b2706,b2707,b2708,b2306,b2307,b2308,b2309,b4511,b0585,b0586,b0587,b4827,b1923,b2663,b2662,b2661,b2660,b2659,b0880,b1891,b1892,b1920,b1921,b1922,b2535,b4317,b4320,b4319,b4318,b4316,b4315,b4314,b0924,b0923,b0922,b0921,b1182,b2782,b2783,b2784"
DNA-binding transcriptional activator CadC,CadC,cadC,b4133,cadC,TF,"cadA,cadB,cadC","b4131,b4132,b4133",,,"cadA,cadB,cadC","b4131,b4132,b4133"
DNA-binding transcriptional dual regulator SdiA,SdiA,sdiA,b1916,sdiA,TF,"gadY,rmf,rsd,gadW,rflP,ftsQ,ftsA,ftsZ","b4452,b0953,b3995,b3515,b1707,b0093,b0094,b0095","ftsQ,ftsA,ftsZ","b0093,b0094,b0095","gadY,rmf,rsd,gadW,rflP,ftsQ","b4452,b0953,b3995,b3515,b1707,b0093"
DNA-binding transcriptional dual regulator PspF,PspF,pspF,b1303,pspF,TF,"pspF,pspH,pspG","b1303,b4758,b4050",pspF,b1303,"pspH,pspG,pspA,pspB,pspC,pspD,pspE","b4758,b4050,b1304,b1305,b1306,b1307,b1308"
DNA-binding transcriptional dual regulator SoxR,SoxR,soxR,b4063,soxR,TF,"yjcB,sodA,yrbL,tyrA,aroF,soxS,fumC,soxR","b4060,b3908,b3207,b2600,b2601,b4062,b1611,b4063",soxR,b4063,"yjcB,sodA,yrbL,tyrA,aroF,soxS,fumC","b4060,b3908,b3207,b2600,b2601,b4062,b1611"
DNA-binding transcriptional dual regulator Nac,Nac,nac,b1988,nac,TF,"znuA,ytfP,ytfK,ytfJ,ytfB,yqeJ,yqeH,yqeB,yoeB,yobF,yobB,yobA,ynjH,ynjF,hxpB,yniB,bidA,ynfG,ynfF,ynfE,ynfD,ynfB,mgtS,yneK,ynaK,ykgH,ykgE,yjhI,yjgH,yjfZ,yjeM,pdeC,yjcB,yjbQ,yjbB,yiiF,yiiE,yihQ,yihO,yihL,yihD,yigL,yigI,yifB,yieP,yieE,yidQ,yicJ,yhhZ,yhfZ,yhcD,yhcA,ubiU,ubiT,yhaB,ygiZ,ygiM,ygiL,ygiF,yghS,yggP,ygdB,ygcP,ygcO,ygcE,ygaZ,ygaV,ygaP,ygaM,ygaC,abpA,yfiR,yfiL,yfhL,yfgH,yfgG,pdeF,yfeS,yfeK,yfcP,yfcO,yfaE,lapC,yejG,yejB,yegR,yegL,yegH,hprR,yecF,yecE,yecD,rflP,ydiP,ydiO,ydiB,ydfR,ydfK,ydeQ,ydeP,ydcZ,ydcI,ydaU,ydaT,yciZ,ychA,ycgB,dgcT,ybjX,ybjQ,ybjP,ybgE,ybgC,ybfC,ybeU,ybeR,ybcV,ybbW,ybbC,ybaL,yajO,yaiZ,pdeL,yafV,yafQ,yafO,yafN,yafD,yadM,yadC,xdhA,xapR,wzzE,wzc,wzb,wza,wrbA,wcaF,wcaE,waaG,waaF,uxaC,uvrY,uspG,uspA,uhpA,ubiA,trxB,torA,tomB,tolB,tnaC,tnaB,tnaA,thrS,thiL,tff,tfaR,tfaQ,tdcA,tauA,sucA,stfR,ssuE,srlR,spf,sibE,sibA,shoB,shiA,selC,secG,sdhC,sdaA,scpB,sbcD,rutB,rsd,rpoZ,rpmH,rplU,rnlB,rluE,rimP,rfbC,rfbB,rep,rcsA,queF,pyrL,pyrB,ptrA,pstS,pstC,prmB,ppiB,ppdC,ppc,polA,pntA,pldA,pitB,phoH,phoB,pgaA,pfkB,pdxK,pabC,osmY,osmB,oppC,oppA,ompT,ompR,ompN,ompF,ompA,nusB,nusA,nudC,nrfG,nrfF,nrdG,nlpE,nfrB,narX,narK,napC,napB,nanK,nanA,nadD,nadC,msrA,mscL,mreC,moeA,mobA,mntH,micC,mglB,mglA,metY,metR,metE,mdtE,mcrB,mcbA,marR,map,malY,malI,macA,lysU,lysR,lysP,lysA,lrp,lpxH,livM,livK,livH,leuU,leuO,leuL,lepB,lepA,kdsA,kbl,kbaY,katG,ispD,iraP,intD,insK,ilvN,ilvL,ileY,icd,ibpA,iaaA,hupA,htrE,htpX,htpG,holE,hofC,hfq,hemN,hemH,hemB,hchA,hcaR,hcaE,gudX,gspO,gspM,gspH,gspG,groS,gor,gmk,glxK,gltA,glpK,glcA,gcvT,gatA,gadX,gadE,fucA,ftnB,fliD,fliC,fhuF,fepE,feaB,fdoG,exuT,evgA,eutS,emrK,elfG,ecnB,ecnA,dsbG,dsbA,dppA,dnaA,dkgA,dinJ,dhaR,dhaK,ddpC,dcyD,dcm,dapB,dadA,cysS,cysJ,cynT,cynR,cydA,cycA,csiE,glaH,cpdB,cobU,cobT,cmtB,cmtA,chpS,cho,cheA,cfa,cdaR,ccmH,ccmB,ccmA,caiF,bssS,borD,blc,bglX,bglH,bglB,bfr,bfd,asnV,asnT,asnA,aroF,aroE,aroD,argU,argO,araF,araE,ansP,ansB,ampD,amn,amiB,allR,alaC,ahpC,acrE,aceB,abgA,yrhB,yraH,yqeK,yohO,ynfA,ymjA,ykgL,yjgN,yjgM,yjeJ,yjeH,yjcO,yjcF,yjaH,yijO,yieH,yiaD,yhjE,yhjD,yhiJ,yhhQ,yhfL,yhdV,yhcC,yhbX,yhaI,ygjI,ygjH,ygiN,yghT,yghG,srsR,ygeG,ygdR,ppnN,ygcS,yfjI,yfdV,yfdE,yfbV,yfbL,yfbK,yeiH,yeiE,yehE,yeeZ,yedL,yebQ,ydiY,ydiM,ydiL,fumD,ydgH,ydeE,ydcY,ortT,ycgX,ycgV,ycgJ,yccM,ycaN,ycaK,ycaD,ycaC,ybhM,ybhI,ybhH,ybhD,ybeT,ybeQ,ybdR,ybdK,ybcK,yajD,yaiY,yaiS,yagU,dpaA,yafC,yaeF,wecH,uspC,ugd,torI,tdcR,sdiA,rsmF,rlmM,rlmF,rhtA,rfaH,queD,prfC,pphB,pinR,pinQ,nudG,mtfA,mltD,mdtG,ligB,kduI,kdgR,ivy,ispB,greB,gltP,fklB,fdhD,eptA,elfA,eamA,dld,ddlA,dcp,cysQ,curA,cbrC,cbrB,bisC,ackA,abgR,feaR,patD,ydcV,ydcU,ydcT,ydcS,gdhA,gabP,gabT,gabD,mnmG,mioC,asnC,nupC,codB,codA,serA,gltB,gltD,gltF,nac","b1857,b4222,b4217,b4216,b4206,b2848,b2846,b2875,b4539,b1824,b1843,b1841,b1760,b1758,b1727,b1726,b1593,b1589,b1588,b1587,b1586,b1583,b4599,b1527,b1365,b0310,b0306,b4299,b4248,b4204,b4156,b4061,b4060,b4056,b4020,b3890,b3889,b3878,b3876,b3872,b3858,b3826,b3820,b3765,b3755,b3712,b3688,b3657,b3442,b3383,b3216,b3215,b3158,b3157,b3120,b3027,b3055,b3043,b3054,b2985,b4465,b2824,b2768,b2767,b2776,b2682,b2667,b2668,b2672,b2671,b2628,b2603,b2602,b2562,b2505,b2504,b2503,b2420,b2419,b2333,b2332,b2236,b2188,b2181,b2178,b2085,b2073,b2063,b1969,b1915,b1868,b1867,b1707,b1696,b1695,b1692,b1555,b1544,b1502,b1501,b1447,b1422,b1359,b1358,b4596,b1214,b1188,b1025,b0877,b0866,b0865,b0735,b0736,b0704,b0648,b0645,b0558,b0511,b0498,b0478,b0419,b0380,b0315,b0219,b0225,b0233,b0232,b0209,b0138,b0135,b2866,b2405,b3785,b2060,b2061,b2062,b1004,b2054,b2055,b3631,b3620,b3092,b1914,b0607,b3495,b3669,b4040,b0888,b0997,b0461,b0740,b3707,b3709,b3708,b1719,b0417,b4414,b1373,b1546,b3118,b0365,b0726,b1372,b0937,b2707,b3864,b4611,b4436,b4687,b1981,b3658,b3175,b0721,b1814,b2919,b0398,b1011,b3995,b3649,b3703,b3186,b2631,b1135,b3170,b2038,b2041,b3778,b1951,b2794,b4246,b4245,b2821,b3728,b3727,b2330,b0525,b2823,b3956,b3863,b1603,b3821,b2987,b1020,b0399,b1024,b1723,b2418,b1096,b4376,b1283,b1245,b1243,b0565,b3405,b1377,b0929,b0957,b0416,b3169,b3996,b4076,b4075,b4237,b0192,b0569,b1222,b1223,b2202,b2203,b3222,b3225,b0639,b0109,b4219,b3291,b3250,b0827,b3857,b2392,b4427,b2150,b2149,b3171,b3828,b3829,b3513,b4346,b0806,b1530,b0168,b1622,b1620,b0878,b4129,b2839,b2156,b2838,b0889,b0524,b3456,b3458,b3457,b3174,b0076,b0075,b2568,b2569,b1215,b3617,b3137,b3942,b2747,b0382,b0537,b3558,b3670,b3766,b2652,b1136,b3687,b0828,b4000,b0139,b1829,b0473,b1842,b0106,b4172,b3867,b0475,b0369,b1967,b2537,b2538,b2788,b3335,b3334,b3329,b3328,b4142,b3500,b3648,b0514,b0720,b3926,b2975,b2905,b2094,b3516,b3512,b2800,b1902,b1924,b1923,b4367,b0587,b1385,b3894,b3093,b2369,b2462,b2368,b0941,b4411,b4410,b0604,b3860,b3544,b3702,b3012,b0226,b1201,b1200,b1485,b1919,b1961,b0031,b1189,b0526,b2764,b0339,b0338,b0733,b4208,b2535,b2659,b4213,b1993,b1991,b2934,b2933,b4224,b1741,b1888,b1661,b0162,b2194,b2200,b2201,b0034,b1060,b0557,b4149,b2132,b3720,b3721,b3336,b3337,b1989,b1977,b3744,b2601,b3281,b1693,b0536,b2923,b1901,b2841,b1453,b2957,b0110,b1982,b4169,b0506,b2379,b0605,b3265,b4014,b1338,b3446,b3142,b2849,b4542,b1582,b1295,b0295,b4257,b4256,b4145,b4141,b4078,b4066,b4001,b3954,b3715,b3552,b3523,b3522,b3488,b3471,b3369,b3267,b3211,b3173,b3104,b3078,b3074,b3029,b2986,b2971,b2921,b2851,b2833,b2795,b2771,b2625,b2372,b2371,b2295,b2271,b2270,b2158,b2157,b2112,b2016,b1932,b1828,b1722,b1690,b1689,b1675,b1604,b1534,b1446,b1445,b1161,b1202,b1177,b0992,b0900,b0901,b0898,b0897,b0787,b0770,b0769,b0768,b0647,b0644,b0608,b0581,b0544,b0410,b0379,b0364,b0287,b0224,b0208,b0193,b3561,b1895,b2028,b4501,b3119,b1916,b1835,b2806,b0807,b0813,b3842,b2765,b4375,b2734,b1374,b1545,b1759,b1976,b0211,b1053,b3647,b2843,b1827,b0220,b3187,b3406,b4077,b4207,b3895,b4114,b0938,b1533,b2133,b0381,b1538,b4214,b1449,b3717,b3716,b3551,b2296,b1339,b1384,b1444,b1443,b1442,b1441,b1440,b1761,b2663,b2662,b2661,b3741,b3742,b3743,b2393,b0336,b0337,b2913,b3212,b3213,b3214,b1988","znuA,ytfP,ytfK,yqeB,yoeB,yobB,ynjH,hxpB,yniB,bidA,ynfF,ynfE,ynfD,ykgH,ykgE,yjhI,yjgH,yjfZ,yjeM,yjbQ,yjbB,yiiF,yiiE,yihQ,yihO,yihL,yifB,yieP,yieE,yhhZ,yhfZ,yhcD,yhcA,ubiU,ubiT,ygiZ,ygiM,ygiF,yghS,yggP,ygdB,ygcP,ygcO,ygcE,ygaZ,ygaV,ygaP,ygaM,ygaC,abpA,yfiR,yfhL,yfgH,pdeF,yfeS,yfcP,yfcO,yfaE,lapC,yejG,yejB,yegR,yegL,hprR,yecF,ydiP,ydiO,ydiB,ydfR,ydfK,ydeQ,ydeP,ydcZ,ydaT,yciZ,ychA,ycgB,dgcT,ybjX,ybgC,ybfC,ybeU,ybcV,ybbC,ybaL,yajO,pdeL,yafQ,yafO,yafN,yadM,yadC,xdhA,xapR,wzc,wzb,wza,waaG,waaF,uxaC,uvrY,uspG,uspA,uhpA,ubiA,trxB,torA,tolB,tnaB,tnaA,thrS,thiL,tff,tfaR,tfaQ,tdcA,tauA,sucA,stfR,ssuE,srlR,spf,sibE,shiA,secG,sdaA,scpB,sbcD,rsd,rpoZ,rplU,rnlB,rimP,rfbB,rep,rcsA,queF,pyrB,ptrA,pstS,pstC,prmB,ppiB,ppc,polA,pntA,pldA,phoH,phoB,pdxK,pabC,osmY,oppC,ompT,ompR,ompN,ompF,ompA,nusB,nusA,nupC,nudC,nrdG,nlpE,nfrB,narX,narK,napC,napB,nanA,nadD,nadC,mscL,mreC,mobA,mntH,mglB,mglA,metY,metR,mcrB,mcbA,malY,malI,macA,lysU,lysR,lysP,lrp,lpxH,livM,livK,leuU,leuO,lepB,kdsA,kbl,katG,ispD,iraP,intD,ilvN,htrE,htpX,htpG,holE,hofC,hfq,hemN,hemH,hemB,hchA,gudX,gspH,gspG,gor,glxK,gltA,glpK,gcvT,gatA,gadX,fucA,fliD,fliC,fhuF,fepE,feaR,feaB,fdoG,exuT,evgA,emrK,elfG,ecnB,ecnA,dsbA,dppA,dnaA,dkgA,dinJ,dhaK,ddpC,dcm,dapB,cysS,cysJ,cynT,cynR,csiE,glaH,cpdB,cobU,cobT,chpS,cho,cfa,cdaR,ccmH,ccmB,ccmA,caiF,borD,blc,bglH,bglB,bfd,asnV,asnT,asnA,aroF,aroE,aroD,araF,araE,ansP,ansB,ampD,amn,amiB,alaC,acrE,aceB,abgA,yraH,yohO,ynfA,ymjA,ykgL,yjgN,yjeJ,yjeH,yjcO,yijO,yieH,yiaD,yhjD,yhiJ,yhfL,yhdV,yhaI,ygjI,ygiN,yghT,srsR,ygeG,ygdR,ppnN,ygcS,yfjI,yfdE,yfbV,yfbK,yeiE,yehE,yeeZ,yedL,yebQ,ydiY,ydiM,fumD,ydgH,ydcY,ortT,ycgJ,yccM,ycaD,ycaC,ybhI,ybhH,ybdR,yajD,yaiY,yafC,yaeF,ugd,tdcR,sdiA,rsmF,rhtA,queD,prfC,pphB,pinR,pinQ,nudG,mtfA,mltD,mdtG,ligB,kduI,kdgR,ispB,greB,gltP,fklB,fdhD,eptA,eamA,dld,ddlA,curA,cbrC,cbrB,abgR,gdhA,mnmG,mioC,asnC,serA,gltB,gltD,gltF,nac","b1857,b4222,b4217,b2875,b4539,b1843,b1760,b1727,b1726,b1593,b1588,b1587,b1586,b0310,b0306,b4299,b4248,b4204,b4156,b4056,b4020,b3890,b3889,b3878,b3876,b3872,b3765,b3755,b3712,b3442,b3383,b3216,b3215,b3158,b3157,b3027,b3055,b3054,b2985,b4465,b2824,b2768,b2767,b2776,b2682,b2667,b2668,b2672,b2671,b2628,b2603,b2562,b2505,b2503,b2420,b2333,b2332,b2236,b2188,b2181,b2178,b2085,b2073,b1969,b1915,b1696,b1695,b1692,b1555,b1544,b1502,b1501,b1447,b1358,b4596,b1214,b1188,b1025,b0877,b0736,b0704,b0648,b0558,b0498,b0478,b0419,b0315,b0225,b0233,b0232,b0138,b0135,b2866,b2405,b2060,b2061,b2062,b3631,b3620,b3092,b1914,b0607,b3495,b3669,b4040,b0888,b0997,b0740,b3709,b3708,b1719,b0417,b4414,b1373,b1546,b3118,b0365,b0726,b1372,b0937,b2707,b3864,b4611,b1981,b3175,b1814,b2919,b0398,b3995,b3649,b3186,b2631,b3170,b2041,b3778,b1951,b2794,b4245,b2821,b3728,b3727,b2330,b0525,b3956,b3863,b1603,b3821,b1020,b0399,b2418,b1096,b4376,b1245,b0565,b3405,b1377,b0929,b0957,b0416,b3169,b2393,b3996,b4237,b0192,b0569,b1222,b1223,b2202,b2203,b3225,b0639,b0109,b3291,b3250,b3857,b2392,b2150,b2149,b3171,b3828,b4346,b0806,b1622,b1620,b0878,b4129,b2839,b2156,b0889,b0524,b3456,b3458,b3174,b0076,b2568,b1215,b3617,b3942,b2747,b0382,b0537,b3670,b0139,b1829,b0473,b1842,b0106,b4172,b3867,b0475,b0369,b1967,b2788,b3329,b3328,b3500,b0514,b0720,b3926,b2905,b2094,b3516,b2800,b1924,b1923,b4367,b0587,b1384,b1385,b3894,b3093,b2369,b2368,b0941,b4411,b4410,b3860,b3544,b3702,b3012,b0226,b1200,b1485,b1961,b0031,b0526,b2764,b0339,b0338,b2535,b2659,b4213,b1993,b1991,b4224,b1741,b1661,b0162,b2194,b2200,b2201,b0034,b0557,b4149,b3720,b3721,b3337,b1989,b1977,b3744,b2601,b3281,b1693,b1901,b2841,b1453,b2957,b0110,b1982,b4169,b2379,b3265,b4014,b1338,b3142,b4542,b1582,b1295,b0295,b4257,b4145,b4141,b4078,b3954,b3715,b3552,b3522,b3488,b3369,b3267,b3104,b3078,b3029,b2986,b2921,b2851,b2833,b2795,b2771,b2625,b2371,b2295,b2270,b2157,b2112,b2016,b1932,b1828,b1722,b1690,b1675,b1604,b1446,b1445,b1177,b0992,b0898,b0897,b0770,b0769,b0608,b0410,b0379,b0208,b0193,b2028,b3119,b1916,b1835,b0813,b2765,b4375,b2734,b1374,b1545,b1759,b1976,b0211,b1053,b3647,b2843,b1827,b3187,b3406,b4077,b4207,b3895,b4114,b1533,b2133,b0381,b1449,b3717,b3716,b1339,b1761,b3741,b3742,b3743,b2913,b3212,b3213,b3214,b1988","ytfJ,ytfB,yqeJ,yqeH,yobF,yobA,ynjF,ynfG,ynfB,mgtS,yneK,ynaK,pdeC,yjcB,yihD,yigL,yigI,yidQ,yicJ,yhaB,ygiL,yfiL,yfgG,yfeK,yegH,yecE,yecD,rflP,ydcI,ydaU,ybjQ,ybjP,ybgE,ybeR,ybbW,yaiZ,yafV,yafD,wzzE,wrbA,wcaF,wcaE,tomB,tnaC,sibA,shoB,selC,sdhC,rutB,rpmH,rluE,rfbC,pyrL,ppdC,pitB,pgaA,pfkB,osmB,oppA,nrfG,nrfF,nanK,msrA,moeA,micC,metE,mdtE,marR,map,lysA,livH,leuL,lepA,kbaY,insK,ilvL,ileY,icd,ibpA,iaaA,hupA,hcaR,hcaE,gspO,gspM,groS,gmk,gltF,glcA,gadE,ftnB,eutS,dsbG,dhaR,dcyD,dadA,cydA,cycA,cmtB,cmtA,cheA,bssS,bglX,bfr,argU,argO,allR,ahpC,yrhB,yqeK,yjgM,yjcF,yjaH,yhjE,yhhQ,yhcC,yhbX,ygjH,yghG,yfdV,yfbL,yeiH,ydiL,ydeE,ycgX,ycgV,ycaN,ycaK,ybhM,ybhD,ybeT,ybeQ,ybdK,ybcK,yaiS,yagU,dpaA,wecH,uspC,torI,rlmM,rlmF,rfaH,ivy,elfA,dcp,cysQ,bisC,ackA,feaR,patD,ydcV,ydcU,ydcT,ydcS,gabP,gabT,gabD,nupC,codB,codA","b4216,b4206,b2848,b2846,b1824,b1841,b1758,b1589,b1583,b4599,b1527,b1365,b4061,b4060,b3858,b3826,b3820,b3688,b3657,b3120,b3043,b2602,b2504,b2419,b2063,b1868,b1867,b1707,b1422,b1359,b0866,b0865,b0735,b0645,b0511,b0380,b0219,b0209,b3785,b1004,b2054,b2055,b0461,b3707,b4436,b4687,b3658,b0721,b1011,b3703,b1135,b2038,b4246,b2823,b2987,b1024,b1723,b1283,b1243,b4076,b4075,b3222,b4219,b0827,b4427,b3829,b3513,b1530,b0168,b2838,b3457,b0075,b2569,b3137,b3558,b3766,b2652,b1136,b3687,b0828,b4000,b2537,b2538,b3335,b3334,b4142,b3648,b3214,b2975,b3512,b1902,b2462,b0604,b1201,b1919,b1189,b0733,b4208,b2934,b2933,b1888,b1060,b2132,b3336,b0536,b2923,b0506,b0605,b3446,b2849,b4256,b4066,b4001,b3523,b3471,b3211,b3173,b3074,b2971,b2372,b2271,b2158,b1689,b1534,b1161,b1202,b0900,b0901,b0787,b0768,b0647,b0644,b0581,b0544,b0364,b0287,b0224,b3561,b1895,b4501,b2806,b0807,b3842,b0220,b0938,b1538,b4214,b3551,b2296,b1384,b1444,b1443,b1442,b1441,b1440,b2663,b2662,b2661,b2393,b0336,b0337"
DNA-binding transcriptional dual regulator LysR,LysR,lysR,b2839,lysR,TF,"lysR,lysA","b2839,b2838",lysR,b2839,lysA,b2838
DNA-binding transcriptional activator EnvY,EnvY,envY,b0566,envY,TF,"ompF,ompC","b0929,b2215",,,"ompF,ompC","b0929,b2215"
DNA-binding transcriptional repressor NimR,NimR,nimR,b1790,nimR,TF,"nimR,nimT","b1790,b1791","nimR,nimT","b1790,b1791",,
DNA-binding transcriptional dual regulator YdcI,YdcI,ydcI,b1422,ydcI,TF,"iraP,smrB,isrC,flu","b0382,b2331,b4435,b2000",,,"iraP,smrB,isrC,flu","b0382,b2331,b4435,b2000"
DNA-binding transcriptional activator DecR,DecR,decR,b0447,decR,TF,"cyuP,cyuA","b3110,b4470",,,"cyuP,cyuA","b3110,b4470"
DNA-binding transcriptional repressor GntR,GntR,gntR,b3438,gntR,TF,"idnR,idnT,idnO,idnD,idnK,nfuA,yhgH,eda,edd,gntT,gntU,gntK","b4264,b4265,b4266,b4267,b4268,b3414,b3413,b1850,b1851,b3415,b4476,b3437","idnR,idnT,idnO,idnD,idnK,nfuA,yhgH,eda,edd,gntT,gntU,gntK","b4264,b4265,b4266,b4267,b4268,b3414,b3413,b1850,b1851,b3415,b4476,b3437",,
DNA-binding transcriptional repressor RspR,RspR,rspR,b1540,rspR,TF,"rspA,rspB","b1581,b1580","rspA,rspB","b1581,b1580",,
