"gene","Bnb","DMmut","DMenv","DMevo","DMstrs","DMstrs_hp","DMstrs_he","DMprtn","DMnoise_ch"
"ispH","b0029",-0.0825159166304661,-0.238692157913929,-0.0897063025750425,-0.109105946945531,-0.112780752241391,-0.087392732081186,0.381976321217209,-0.0414914469932175
"rihC","b0030",-0.00280100305057024,0.434384728253295,0.0113330521633841,0.0747225615227645,0.0582089696422541,0.105832729830988,0.802709227506832,NA
"dapB","b0031",-0.168219290150093,0.283223671084011,-0.114391649581376,0.133192042758549,0.249709955708116,0.0614553323271624,0.0440193885943423,-0.0919605235593405
"carA","b0032",0.262474217749865,1.64354831810369,0.138399798288422,0.126635394238481,0.258402299732957,0.0708138906225264,0.390374504890465,0.17005159704873
"caiF","b0034",0.725556939622424,0.60817875052695,0.264605766491896,0.222328892719359,0.654828948164432,0.0466070240717558,NA,NA
"caiE","b0035",-0.0663551206392804,-0.181379146534725,-0.0664214601072797,0.145098264732032,0.01520330925406,0.0105237255381168,NA,NA
"caiD","b0036",-0.0164643410413948,-0.0563896969740835,-0.159198233017386,0.179524647991,-0.00563240165094625,0.037906543034586,NA,NA
"caiC","b0037",-0.230832152521459,-0.390906506989493,-0.365787015166544,0.147888256129146,-0.0096374940485327,0.0549590984103689,NA,NA
"caiB","b0038",-0.265360684396796,-0.194088651174205,-0.366162992709778,0.0799467871781405,-0.0886080922240811,0.0810618404333863,NA,NA
"caiA","b0039",-0.289167955639296,-0.227578030819253,-0.331497645962405,0.00887713604596474,-0.11334087613489,0.114106631074424,NA,NA
"caiT","b0040",0.22596206726348,-0.100245334598538,-0.110243490749645,-0.0175326662642477,0.0570488659424681,0.151097103404575,NA,NA
"fixB","b0042",-0.12405847781386,-0.144548191614437,-0.260712438904391,-0.0367363910342587,-0.0956856306768975,0.0173529671927771,NA,0.206984025622389
"fixC","b0043",0.0584991883223035,-0.0967270408066591,-0.213929610768316,-0.0597587970358706,-0.0589755713894518,0.0116159244322473,NA,0.121388121444682
