"label","Pathway_ID","Pathway_name","size","Bnb","DMenv","DMevo","DMmut","label.sel"
24,"eco00190","Oxidative phosphorylation",36,"b0428,b0429,b0430,b0431,b0432,b0721,b0722,b0723,b0724,b0733,b0734,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2285,b2286,b2287,b2288,b2501,b3731,b3733,b3734,b3735,b3736,b3737,b3738,b4151,b4152,b4153,b4154,b4226,b4515",0.300815644250004,0.0677617544417837,0.335597265535646,""
25,"eco00680","Methane metabolism",26,"b0355,b0356,b0755,b0907,b0996,b0997,b0998,b1702,b1873,b2097,b2154,b2296,b2551,b2779,b2913,b2925,b3236,b3612,b3892,b3893,b3916,b3925,b3956,b4232,b4388,b4395",0.233865778348844,0.150159358761263,0.137972717692274,""
26,"eco00910","Nitrogen metabolism",15,"b0126,b0323,b0521,b0873,b1227,b1761,b2203,b2206,b2874,b3212,b3213,b3365,b3366,b3870,b4070",0.512345278010551,0.569069075188085,0.429867081808336,"26"
27,"eco00920","Sulfur metabolism",23,"b0367,b0368,b0896,b0933,b0935,b0936,b1670,b2414,b2422,b2423,b2424,b2521,b2750,b2751,b2752,b2762,b2764,b3425,b3607,b3917,b3939,b4013,b4214",0.782881638070722,0.188897567301901,-0.00702784899767313,"27"
28,"eco00061","Fatty acid biosynthesis",12,"b0180,b0185,b0954,b1091,b1092,b1093,b1095,b1805,b2316,b2323,b3255,b3256",-0.0875299503618779,-0.0361052591232538,0.00562876585936798,""
29,"eco00071","Fatty acid degradation",10,"b0221,b0356,b1241,b1805,b2341,b2342,b2836,b2844,b3845,b3846",0.326420092990135,-0.00310914594848578,0.022374282021709,"29"
30,"eco00561","Glycerolipid metabolism",13,"b0325,b0514,b1090,b1198,b1199,b1200,b3018,b3059,b3124,b3926,b3945,b4042,b4119",0.215167993582876,0.583002149398009,0.220941731188519,""
31,"eco00564","Glycerophospholipid metabolism",25,"b0175,b0418,b0789,b1046,b1249,b1278,b1912,b2239,b2241,b2242,b2440,b2451,b2560,b2585,b2836,b3018,b3059,b3426,b3449,b3608,b3821,b3825,b3918,b4042,b4160",0.0456184765739119,0.0900692073345447,0.0130865083522367,""
32,"eco00230","Purine metabolism",64,"b0049,b0104,b0125,b0160,b0238,b0323,b0469,b0474,b0480,b0505,b0512,b0515,b0521,b0522,b0523,b0675,b1131,b1849,b1970,b2234,b2235,b2291,b2312,b2476,b2499,b2500,b2502,b2507,b2508,b2518,b2557,b2593,b2675,b2676,b2744,b2750,b2751,b2752,b2781,b2784,b2795,b2866,b2867,b2868,b2874,b2883,b2954,b3032,b3034,b3397,b3399,b3648,b3650,b3665,b3779,b3806,b4005,b4006,b4177,b4213,b4238,b4383,b4384,b4394",0.203759879697932,0.00387009266017876,0.0459053198833575,""
33,"eco00240","Pyrimidine metabolism",44,"b0030,b0032,b0171,b0337,b0480,b0651,b0675,b0910,b0945,b1008,b1062,b1238,b1281,b1539,b1759,b2065,b2066,b2143,b2146,b2147,b2234,b2235,b2291,b2498,b2518,b2675,b2676,b2744,b2780,b2781,b2795,b2827,b2873,b3085,b3248,b3640,b3642,b3831,b4213,b4238,b4244,b4245,b4374,b4382",0.332945248566548,0.0754513511429338,0.083187111701531,"33"
34,"eco00250","Alanine, aspartate and glutamate metabolism",24,"b0032,b0219,b0674,b0828,b1131,b1524,b1761,b2290,b2312,b2574,b2661,b2662,b2957,b3172,b3212,b3213,b3729,b3744,b3870,b3960,b4139,b4177,b4244,b4245",0.765601236944705,0.0886955158179402,0.331866760900931,""
35,"eco00260","Glycine, serine and threonine metabolism",34,"b0002,b0003,b0004,b0116,b0311,b0514,b0755,b0870,b0907,b1033,b1260,b1261,b1539,b1814,b2551,b2585,b2797,b2840,b2903,b2904,b2905,b2913,b3117,b3124,b3433,b3553,b3612,b3616,b3617,b3940,b4024,b4388,b4395,b4471",0.390363115710318,0.0890279529685576,0.283728313139822,""
36,"eco00270","Cysteine and methionine metabolism",33,"b0002,b0120,b0121,b0159,b0907,b1622,b1814,b1832,b1961,b2414,b2421,b2521,b2593,b2687,b2688,b2797,b2840,b2913,b2942,b2947,b3008,b3236,b3433,b3607,b3770,b3829,b3939,b3940,b4013,b4019,b4024,b4054,b4471",0.400714455360458,0.0483270430579491,0.238855213058868,""
37,"eco00280","Valine, leucine and isoleucine degradation",8,"b0116,b2341,b2342,b2662,b2844,b3770,b3845,b3846",0.534706547148483,0.0355121442455976,0.10305335491715,""
38,"eco00290","Valine, leucine and isoleucine biosynthesis",15,"b0071,b0072,b0073,b0074,b0077,b0078,b2290,b3117,b3572,b3670,b3671,b3769,b3770,b3771,b3774",1.02309050109414,0.143173202205667,0.283795428793687,"38"
39,"eco00300","Lysine biosynthesis",13,"b0002,b0031,b0085,b0086,b0166,b2472,b2478,b2838,b3359,b3433,b3809,b3940,b4024",0.245576292938872,-0.0321817126758271,-0.0344936973376857,""
40,"eco00310","Lysine degradation",14,"b0116,b0186,b0727,b1687,b2341,b2659,b2660,b2661,b2662,b2840,b2844,b3073,b3846,b4131",0.736512135706901,0.213125202775418,0.279432566957759,""
41,"eco00220","Arginine biosynthesis",14,"b0323,b0521,b1524,b1761,b2290,b2818,b2874,b3172,b3359,b3870,b3957,b3958,b3959,b3960",0.460443167575302,-0.101837510742799,0.29105807813986,""
42,"eco00330","Arginine and proline metabolism",13,"b0120,b0121,b0242,b0243,b0337,b0386,b1584,b1744,b1747,b2937,b2965,b3073,b4117",0.302770363416975,-0.0396508144214497,0.089227173672208,""
43,"eco00340","Histidine metabolism",6,"b2019,b2020,b2022,b2024,b2025,b2026",0.411444472772567,-0.0516927476575469,0.329061204159394,""
44,"eco00350","Tyrosine metabolism",5,"b0356,b0801,b1241,b2661,b4054",0.49195316176756,0.203581190051272,0.215096644406492,""
45,"eco00360","Phenylalanine metabolism",5,"b0801,b1189,b3441,b3942,b4054",0.309592999061325,0.217697731394448,0.120384100631786,""
46,"eco00380","Tryptophan metabolism",8,"b0116,b0727,b1732,b2341,b2844,b3708,b3846,b3942",0.744790608977169,0.387800623328054,0.32887383510306,""
47,"eco00400","Phenylalanine, tyrosine and tryptophan biosynthesis",14,"b0388,b0754,b0908,b1260,b1261,b1263,b1693,b2329,b2599,b2600,b2601,b3281,b3389,b4054",0.372916728558596,-0.0820985710613659,-0.071536849320839,""
48,"eco00410","beta-Alanine metabolism",8,"b0131,b0133,b2146,b2147,b2341,b2662,b2873,b3846",0.428374546381918,0.109723081072283,0.218994011679653,""
49,"eco00450","Selenocompound metabolism",11,"b0888,b1622,b2751,b2752,b2880,b2881,b3008,b3591,b3829,b3939,b4019",0.528616760363813,0.0174871186024473,0.297180289767972,""
50,"eco00460","Cyanoamino acid metabolism",6,"b0828,b2132,b2551,b2957,b3447,b3744",0.465774289432415,0.178541648192361,0.341954032793399,""
51,"eco00470","D-Amino acid metabolism",12,"b0088,b0092,b0381,b1189,b1190,b1325,b1524,b2838,b2840,b3809,b3967,b4053",0.0529461316705126,-0.0282751562126576,-0.044313560128408,""
52,"eco00480","Glutathione metabolism",23,"b0121,b0237,b0581,b0711,b0712,b0713,b0838,b0932,b1136,b1218,b1635,b1710,b1852,b2029,b2301,b2523,b2688,b2947,b2965,b2988,b3447,b3500,b4260",0.033425356860131,0.0132059919672098,0.00893540096868587,""
53,"eco00540","Lipopolysaccharide biosynthesis",22,"b0096,b0179,b0181,b0182,b0200,b0222,b0524,b0918,b1215,b1855,b2174,b2378,b3052,b3197,b3198,b3546,b3615,b3619,b3620,b3621,b3630,b3631",-0.0616886634642858,-0.0428028799909057,-0.0397280414664148,""
54,"eco00541","O-Antigen nucleotide sugar biosynthesis",12,"b0759,b1236,b1613,b2028,b2042,b3730,b3786,b3787,b3788,b3789,b3790,b3791",0.00825214564348466,0.137294679704392,-0.00884068973535564,""
55,"eco00550","Peptidoglycan biosynthesis",21,"b0084,b0085,b0086,b0087,b0088,b0090,b0091,b0092,b0149,b0174,b0381,b0632,b0635,b0839,b2010,b2519,b3057,b3182,b3189,b3208,b3972",-0.168960733027572,-0.104011743501627,-0.1111819027242,""
56,"eco00730","Thiamine metabolism",14,"b0417,b0420,b0423,b0474,b1106,b2103,b2104,b2530,b3990,b3991,b3992,b3993,b3994,b4161",0.721282552425315,-0.117187224405273,0.039039906395944,""
57,"eco00740","Riboflavin metabolism",14,"b0025,b0414,b0415,b0844,b0980,b1134,b1277,b1662,b2104,b2311,b3034,b3041,b3812,b3844",-0.113416327565435,-0.0891463502972805,-0.0723738137976454,""
58,"eco00750","Vitamin B6 metabolism",9,"b0004,b0052,b0907,b1406,b1636,b2320,b2418,b2564,b2927",0.074105203258152,-0.0507749255365967,-0.011425315662301,""
59,"eco00760","Nicotinate and nicotinamide metabolism",20,"b0109,b0480,b0675,b0750,b0931,b1120,b1602,b1740,b1768,b2249,b2574,b2615,b2661,b2700,b2744,b2781,b3962,b3996,b4384,b4390",0.0313917305820538,-0.0522723597214506,0.173941044078124,""
60,"eco00770","Pantothenate and CoA biosynthesis",23,"b0077,b0078,b0103,b0131,b0133,b0134,b0404,b0425,b2146,b2147,b2563,b2781,b2873,b3475,b3634,b3639,b3670,b3671,b3769,b3770,b3771,b3774,b3974",0.280528779843209,0.103346402220185,0.0626928889787702,""
61,"eco00780","Biotin metabolism",11,"b0180,b0774,b0775,b0778,b1093,b1095,b1593,b2323,b3412,b3551,b3973",0.206336743707907,-0.0425335038784676,-0.0254138516798571,""
62,"eco00785","Lipoic acid metabolism",10,"b0114,b0115,b0116,b0628,b0630,b0726,b0727,b2903,b2904,b2905",0.297158800731821,0.0123827368215717,0.50043548824191,""
63,"eco00790","Folate biosynthesis",25,"b0009,b0048,b0142,b0444,b0781,b0782,b0783,b0785,b0827,b1096,b1277,b1606,b1812,b1865,b2153,b2303,b2315,b2765,b2777,b2794,b2877,b3058,b3177,b3360,b3857",-0.010370254495525,0.0177335855251597,0.0749295467232784,""
64,"eco00670","One carbon pool by folate",13,"b0048,b0529,b1232,b1606,b2500,b2551,b2827,b2905,b2912,b3288,b3941,b4006,b4019",0.335871168057642,0.0473932331649572,0.213923124309103,""
65,"eco00860","Porphyrin metabolism",20,"b0154,b0369,b0428,b0475,b0638,b1210,b1270,b1991,b1992,b1993,b2400,b2436,b3336,b3368,b3803,b3804,b3805,b3850,b3867,b3997",-0.130606399172154,-0.0693636993539802,-0.0758718816143871,""
66,"eco00130","Ubiquinone and other terpenoid-quinone biosynthesis",19,"b0593,b0662,b1004,b1686,b2232,b2260,b2261,b2262,b2263,b2264,b2265,b2311,b2906,b2907,b3833,b3843,b3930,b4039,b4211",0.0171203465167425,0.0327032652732035,0.113070538217662,""
67,"eco00900","Terpenoid backbone biosynthesis",13,"b0029,b0173,b0174,b0420,b0421,b1208,b2311,b2515,b2746,b2747,b2844,b2889,b3187",-0.0811939107901284,0.00788604997100918,-0.0330116026365279,""
68,"eco00907","Pinene, camphor and geraniol degradation",5,"b2341,b2342,b3845,b3846,b4269",0.481433981645313,0.0476552575837871,0.0645114026269284,""
69,"eco01053","Biosynthesis of siderophore group nonribosomal peptides",8,"b0583,b0586,b0593,b0594,b0595,b0596,b0597,b2265",1.11878150340213,0.305618880644064,0.478315086121209,""
70,"eco00261","Monobactam biosynthesis",8,"b0002,b0031,b2478,b2751,b2752,b3433,b3940,b4024",0.753535536390087,0.123799768667576,-0.0552353599167889,""
71,"eco00362","Benzoate degradation",5,"b2341,b2342,b2844,b3845,b3846",0.482390823566423,-0.03722036426447,0.0707464312787174,""
72,"eco00633","Nitrotoluene degradation",5,"b0578,b0851,b1650,b2994,b2997",0.119293457698065,-0.0494630107744544,0.613222414176585,""
73,"eco03010","Ribosome",54,"b0023,b0169,b0911,b1089,b1716,b1717,b2185,b2606,b2609,b3065,b3165,b3185,b3186,b3230,b3231,b3294,b3296,b3297,b3298,b3299,b3301,b3302,b3303,b3304,b3305,b3306,b3307,b3308,b3309,b3310,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b3341,b3342,b3636,b3637,b3703,b3936,b3983,b3984,b3985,b3986,b4200,b4202,b4203",0.0133515497911145,0.0286352549825704,0.0346783946300243,"73"
74,"eco00970","Aminoacyl-tRNA biosynthesis",15,"b0026,b0194,b0526,b0893,b0930,b1719,b2400,b2514,b2697,b3288,b3384,b3559,b3560,b3591,b4258",-0.245861754477695,-0.102722826206957,-0.0942076026863835,""
75,"eco03060","Protein export",17,"b0027,b0097,b0407,b0408,b0409,b0627,b2568,b2610,b3175,b3300,b3464,b3609,b3705,b3836,b3838,b3839,b3981",-0.0996808721005363,-0.0298107674073551,-0.072956905709496,""
76,"eco04122","Sulfur relay system",18,"b0009,b0423,b0781,b0782,b0783,b0784,b0785,b0826,b0969,b1757,b2521,b2530,b3343,b3344,b3345,b3470,b3992,b4407",0.270590181220589,0.0581623668048397,0.176745153881525,""
77,"eco03018","RNA degradation",16,"b0014,b0143,b0797,b1084,b2501,b2779,b2830,b3162,b3164,b3780,b3783,b3822,b3916,b4143,b4172,b4179",0.0243605954860403,0.0570915379101649,0.00454695289332235,""
