"gene","Bnb","AncHa_rep1_0","AncHa_rep2_0","AncHb_rep1_0","AncHb_rep2_0","H03_10","H04_10","H06_10","H08_10","H10_10","H11_10","H03_30","H04_30","H06_30","H08_30","H10_30","H11_30"
"clsB","b0789",3.60567338392169,3.60567338392169,4.66407511391582,4.64066953049537,4.52086310149999,4.47859352812334,4.08130588922281,3.73658732836659,5.22504038918094,3.3955609468394,4.14325752250922,5.72703753142093,2.79702922810338,3.6172668968005,4.97351173375949,4.33787426680693
"ybhP","b0790",3.12199799715814,3.15530906549624,3.72657450467886,3.66858609480261,3.91017212488427,3.99344685032865,3.52751253045247,3.15530906549624,4.6067916051383,2.67921287970992,3.50989261349011,4.95564928136099,2.10977644784686,2.65419926632755,3.86363855205702,3.38537948522983
"ybhQ","b0791",8.78195164936361,8.94357529463929,8.2975363056983,8.11099522703509,8.51406925376912,8.80268671541861,8.25127025029388,7.14666235517043,7.7445540927365,6.87426679947265,8.44316050975805,8.03076438016881,7.53153143973717,7.6922160956393,7.54538753677178,8.47129775280844
"ybhR","b0792",5.61936775218593,5.80033809884531,4.89699668895247,5.04073055229518,5.77871472864963,5.54442525031654,5.7003068595736,5.33504831944423,5.25341921187199,5.08228864744375,5.47842262432144,5.6130579220427,6.05137255373283,5.48328491008203,5.53156481690065,4.75489263612049
"ybhS","b0793",6.1617873422474,6.12614495311066,5.42232719353857,5.5925794234404,6.36001152429446,6.02108144170654,6.40181084860315,5.74396753084781,5.64792369209132,5.76084161167705,6.09505114244809,6.24310593668346,6.37167627802627,5.92866679122491,5.91685400276083,5.58108740650416
"ybhF","b0794",7.08079594009337,7.02005477727952,6.81630539882521,6.96144880686672,7.36447136385343,6.97787837627827,7.15775023330385,6.84598868605295,6.95798398381632,6.59619868441407,6.76410454133834,7.23141194364337,7.15775023330385,6.75208817911621,6.92077827560807,7.0442815987481
"ybhG","b0795",6.63339584815024,6.76648704196129,6.99546261799825,6.65447046836465,6.76410454133834,6.72318908395197,6.52202596833658,6.25369766575296,6.55459187407467,6.06526231066012,6.63339584815024,6.80875282606876,7.02213549786789,6.5927034012833,6.31000650018635,6.98400735179378
"cecR","b0796",6.950675591303,7.01400267057977,7.24758424155851,7.40857856108199,6.9008691562339,6.7364196287431,7.18725837126887,6.53988601046946,7.07528886724125,6.42725155009227,6.97596350788538,7.00511120389952,6.93766466319887,6.81979049092755,7.28149936262358,7.65702858393778
"rhlE","b0797",8.50717815688088,7.93541520180473,9.04522171914335,9.01023834594882,8.27800484293615,7.91250118043028,8.81730266621841,9.8196530584299,8.317456134393,9.77970166751986,8.70859172802851,8.82753945189474,9.11940115940252,9.30071838558709,8.55008257228022,9.09119793080752
"ybiB","b0800",8.11625352400675,7.91861267203037,7.82772241588395,7.88054732669974,8.03474699164483,7.94315547619798,7.82319415302353,7.87748521422326,7.70439974884454,7.71810284957444,8.32477586697458,7.95478094236574,8.08040866976435,7.89048583994056,7.09235745124754,7.83378561949849
"hcxB","b0801",6.75903272652458,6.58614962015682,7.04982179819882,7.03848929358961,6.70253058031995,6.86563532396735,6.81979049092755,6.43147260475652,6.77948827424375,8.93961273428905,6.77463989236952,6.72537861979603,7.1152062729934,6.233801743175,6.40441374417339,7.99731873277159
"ybiJ","b0802",6.75635861358201,6.6719964529606,7.09235745124754,6.7613599301816,6.75208817911621,7.45036880465707,6.55115649872051,8.51187138317716,7.45901438408334,7.35523153166156,7.79996852639484,7.89615929455986,6.37685329915732,7.43622178005386,6.95980255818365,6.88759239642948
