"Node","Sector","TRorNon_TR","SRorNon_SR"
"uxuB","out","Non-TR","Non-SR"
"blc","out","Non-TR","Non-SR"
"rsd","out","Non-TR","Non-SR"
"flhA","out","Non-TR","Non-SR"
"ugpE","out","Non-TR","Non-SR"
"treB","out","Non-TR","Non-SR"
"hflC","out","Non-TR","Non-SR"
"yehY","out","Non-TR","Non-SR"
"hypA","out","Non-TR","Non-SR"
"yieH","out","Non-TR","Non-SR"
"pagP","out","Non-TR","Non-SR"
"dinF","out","Non-TR","Non-SR"
"nuoH","out","Non-TR","Non-SR"
"lsrG","out","Non-TR","Non-SR"
"mzrA","out","Non-TR","Non-SR"
"yqiH","out","Non-TR","Non-SR"
"napB","out","Non-TR","Non-SR"
"phnN","out","Non-TR","Non-SR"
"ydhY","out","Non-TR","Non-SR"
"ybeT","out","Non-TR","Non-SR"
"modC","out","Non-TR","Non-SR"
"asnA","out","Non-TR","Non-SR"
"napC","out","Non-TR","Non-SR"
"ycgJ","out","Non-TR","Non-SR"
"ygjH","out","Non-TR","Non-SR"
"rseC","out","Non-TR","Non-SR"
"fliL","out","Non-TR","Non-SR"
"opgG","out","Non-TR","Non-SR"
"dinD","out","Non-TR","Non-SR"
"yafD","out","Non-TR","Non-SR"
"grxA","out","Non-TR","Non-SR"
"fecB","out","Non-TR","Non-SR"
"narK","out","Non-TR","Non-SR"
"umuD","out","Non-TR","Non-SR"
"iraM","out","Non-TR","Non-SR"
"IscR","out","TR","SR"
"LacI","out","TR","SR"
"pyrL","out","Non-TR","Non-SR"
"dgoD","out","Non-TR","Non-SR"
"upp","out","Non-TR","Non-SR"
"kbl","out","Non-TR","Non-SR"
"proP","out","Non-TR","Non-SR"
"lon","out","Non-TR","Non-SR"
"ugpA","out","Non-TR","Non-SR"
"osmE","out","Non-TR","Non-SR"
"dhaL","out","Non-TR","Non-SR"
"ybiI","out","Non-TR","Non-SR"
"ahpF","out","Non-TR","Non-SR"
"cca","out","Non-TR","Non-SR"
"ttdT","out","Non-TR","Non-SR"
"insK","out","Non-TR","Non-SR"
"osmC","out","Non-TR","Non-SR"
"cyoD","out","Non-TR","Non-SR"
"nudG","out","Non-TR","Non-SR"
"PurR","out","TR","SR"
"mltF","out","Non-TR","Non-SR"
"corA","out","Non-TR","Non-SR"
"mntP","out","Non-TR","Non-SR"
"glcG","out","Non-TR","Non-SR"
"sdhA","out","Non-TR","Non-SR"
"insI1","out","Non-TR","Non-SR"
"cspB","out","Non-TR","Non-SR"
"gapA","out","Non-TR","Non-SR"
"dinB","out","Non-TR","Non-SR"
"ymjE","out","Non-TR","Non-SR"
"yegR","out","Non-TR","Non-SR"
"stfR","out","Non-TR","Non-SR"
"yraH","out","Non-TR","Non-SR"
