"Node","Sector","TRorNon_TR","SRorNon_SR"
"rpoB","out","Non-TR","Non-SR"
"rdlD","out","Non-TR","Non-SR"
"xapA","out","Non-TR","Non-SR"
"asnU","out","Non-TR","Non-SR"
"yafW","out","Non-TR","Non-SR"
"aroL","out","Non-TR","Non-SR"
"tsf","out","Non-TR","Non-SR"
"yjbQ","out","Non-TR","Non-SR"
"umuC","out","Non-TR","Non-SR"
"mtr","out","Non-TR","Non-SR"
"ydfK","out","Non-TR","Non-SR"
"yffP","out","Non-TR","Non-SR"
"yggN","out","Non-TR","Non-SR"
"yhgH","out","Non-TR","Non-SR"
"gcvB","out","Non-TR","Non-SR"
"cysC","out","Non-TR","Non-SR"
"ydiB","out","Non-TR","Non-SR"
"rnpB","out","Non-TR","Non-SR"
"sgcQ","out","Non-TR","Non-SR"
"nadD","out","Non-TR","Non-SR"
"ybhF","out","Non-TR","Non-SR"
"mgtS","out","Non-TR","Non-SR"
"leuC","out","Non-TR","Non-SR"
"cspD","out","Non-TR","Non-SR"
"Rob","out","TR","Non-SR"
"ydiY","out","Non-TR","Non-SR"
"tdcC","out","Non-TR","Non-SR"
"mngB","out","Non-TR","Non-SR"
"ftsL","out","Non-TR","Non-SR"
"yadS","out","Non-TR","Non-SR"
"proV","out","Non-TR","Non-SR"
"hisG","out","Non-TR","Non-SR"
"feaB","out","Non-TR","Non-SR"
"waaC","out","Non-TR","Non-SR"
"rplA","out","Non-TR","Non-SR"
"ccmH","out","Non-TR","Non-SR"
"lpxD","out","Non-TR","Non-SR"
"gltT","out","Non-TR","Non-SR"
"hycH","out","Non-TR","Non-SR"
"sufC","out","Non-TR","Non-SR"
"nrdI","out","Non-TR","Non-SR"
"yiaN","out","Non-TR","Non-SR"
"gcvT","out","Non-TR","Non-SR"
"proM","out","Non-TR","Non-SR"
"lptC","out","Non-TR","Non-SR"
"lpxH","out","Non-TR","Non-SR"
"leuW","out","Non-TR","Non-SR"
"hcaC","out","Non-TR","Non-SR"
"aroB","out","Non-TR","Non-SR"
"hscB","out","Non-TR","Non-SR"
"frdA","out","Non-TR","Non-SR"
"pheA","out","Non-TR","Non-SR"
"chpB","out","Non-TR","Non-SR"
"fimH","out","Non-TR","Non-SR"
"yihD","out","Non-TR","Non-SR"
"paaA","out","Non-TR","Non-SR"
"paaY","out","Non-TR","Non-SR"
"yabI","out","Non-TR","Non-SR"
"uspA","out","Non-TR","Non-SR"
"iscX","out","Non-TR","Non-SR"
"rpiA","out","Non-TR","Non-SR"
"cpoB","out","Non-TR","Non-SR"
"csrB","out","Non-TR","Non-SR"
"sfsB","out","Non-TR","Non-SR"
"obgE","out","Non-TR","Non-SR"
"ydfA","out","Non-TR","Non-SR"
"aroD","out","Non-TR","Non-SR"
"yaeF","out","Non-TR","Non-SR"
"Cbl","out","TR","SR"
"HicB","out","TR","Non-SR"
"cyaA","out","Non-TR","Non-SR"
"ygiZ","out","Non-TR","Non-SR"
"argQ","out","Non-TR","Non-SR"
"argV","out","Non-TR","Non-SR"
"gabD","out","Non-TR","Non-SR"
"glnP","out","Non-TR","Non-SR"
"araB","out","Non-TR","Non-SR"
"ybeQ","out","Non-TR","Non-SR"
"ydjM","out","Non-TR","Non-SR"
"galM","out","Non-TR","Non-SR"
"phoU","out","Non-TR","Non-SR"
"mhpD","out","Non-TR","Non-SR"
"cyoB","out","Non-TR","Non-SR"
"torC","out","Non-TR","Non-SR"
"rssA","out","Non-TR","Non-SR"
"cyoC","out","Non-TR","Non-SR"
"yhjR","out","Non-TR","Non-SR"
"yfaP","out","Non-TR","Non-SR"
"Mlc","out","TR","Non-SR"
"NrdR","out","TR","SR"
"cbrB","out","Non-TR","Non-SR"
"fliC","out","Non-TR","Non-SR"
"ycaM","out","Non-TR","Non-SR"
"astC","out","Non-TR","Non-SR"
"yihT","out","Non-TR","Non-SR"
"polB","out","Non-TR","Non-SR"
"cutA","out","Non-TR","Non-SR"
"gutQ","out","Non-TR","Non-SR"
"fliD","out","Non-TR","Non-SR"
"ppnN","out","Non-TR","Non-SR"
"waaO","out","Non-TR","Non-SR"
"atpF","out","Non-TR","Non-SR"
"mdtU","out","Non-TR","Non-SR"
"psiE","out","Non-TR","Non-SR"
"sbmA","out","Non-TR","Non-SR"
"sroC","out","Non-TR","Non-SR"
"phoH","out","Non-TR","Non-SR"
"acrZ","out","Non-TR","Non-SR"
"deoD","out","Non-TR","Non-SR"
"leuL","out","Non-TR","Non-SR"
"hycF","out","Non-TR","Non-SR"
"ybhR","out","Non-TR","Non-SR"
"cirA","out","Non-TR","Non-SR"
"livG","out","Non-TR","Non-SR"
"dcd","out","Non-TR","Non-SR"
"ssuB","out","Non-TR","Non-SR"
"torD","out","Non-TR","Non-SR"
"nrdF","out","Non-TR","Non-SR"
"agp","out","Non-TR","Non-SR"
"preA","out","Non-TR","Non-SR"
"yfdX","out","Non-TR","Non-SR"
"ytiC","out","Non-TR","Non-SR"
"abgA","out","Non-TR","Non-SR"
"malX","out","Non-TR","Non-SR"
"surA","out","Non-TR","Non-SR"
"galE","out","Non-TR","Non-SR"
"pyrB","out","Non-TR","Non-SR"
"rbsK","out","Non-TR","Non-SR"
"msyB","out","Non-TR","Non-SR"
"cydC","out","Non-TR","Non-SR"
"yrhB","out","Non-TR","Non-SR"
"MurR","out","TR","Non-SR"
"tauD","out","Non-TR","Non-SR"
"uvrA","out","Non-TR","Non-SR"
"yfbK","out","Non-TR","Non-SR"
"thrV","out","Non-TR","Non-SR"
"yebQ","out","Non-TR","Non-SR"
"znuB","out","Non-TR","Non-SR"
"yijO","out","Non-TR","Non-SR"
"bglX","out","Non-TR","Non-SR"
"slt","out","Non-TR","Non-SR"
"metN","out","Non-TR","Non-SR"
"tnaC","out","Non-TR","Non-SR"
"ruvB","out","Non-TR","Non-SR"
"mngA","out","Non-TR","Non-SR"
"metT","out","Non-TR","Non-SR"
"ygbA","out","Non-TR","Non-SR"
"exbD","out","Non-TR","Non-SR"
"yafV","out","Non-TR","Non-SR"
"paaD","out","Non-TR","Non-SR"
"hscA","out","Non-TR","Non-SR"
"nemA","out","Non-TR","Non-SR"
"pncC","out","Non-TR","Non-SR"
"dtpB","out","Non-TR","Non-SR"
"proS","out","Non-TR","Non-SR"
"wzyE","out","Non-TR","Non-SR"
"fumB","out","Non-TR","Non-SR"
"lptB","out","Non-TR","Non-SR"
"prpE","out","Non-TR","Non-SR"
"yihL","out","Non-TR","Non-SR"
"YeiL","out","TR","Non-SR"
"rbn","out","Non-TR","Non-SR"
"tisB","out","Non-TR","Non-SR"
"shiA","out","Non-TR","Non-SR"
"cysU","out","Non-TR","Non-SR"
"MalT","out","TR","SR"
"sodA","out","Non-TR","Non-SR"
"trmH","out","Non-TR","Non-SR"
"ydhW","out","Non-TR","Non-SR"
"ecnB","out","Non-TR","Non-SR"
"zraP","out","Non-TR","Non-SR"
"ridA","out","Non-TR","Non-SR"
"lysP","out","Non-TR","Non-SR"
"ydaU","out","Non-TR","Non-SR"
"ychO","out","Non-TR","Non-SR"
"hslR","out","Non-TR","Non-SR"
"potI","out","Non-TR","Non-SR"
"pgpA","out","Non-TR","Non-SR"
"yciW","out","Non-TR","Non-SR"
"slp","out","Non-TR","Non-SR"
"yjfP","out","Non-TR","Non-SR"
"narX","out","Non-TR","Non-SR"
"dgcQ","out","Non-TR","Non-SR"
"ComR","out","TR","SR"
"metB","out","Non-TR","Non-SR"
"omrB","out","Non-TR","Non-SR"
"hcaB","out","Non-TR","Non-SR"
"cydA","out","Non-TR","Non-SR"
"astA","out","Non-TR","Non-SR"
"ileU","out","Non-TR","Non-SR"
"amiB","out","Non-TR","Non-SR"
"cmtA","out","Non-TR","Non-SR"
"astE","out","Non-TR","Non-SR"
"uidA","out","Non-TR","Non-SR"
"mukB","out","Non-TR","Non-SR"
"prlF","out","Non-TR","Non-SR"
"ysgA","out","Non-TR","Non-SR"
"infB","out","Non-TR","Non-SR"
"speF","out","Non-TR","Non-SR"
"ubiT","out","Non-TR","Non-SR"
"fecA","out","Non-TR","Non-SR"
"FucR","out","TR","SR"
"sgrT","out","Non-TR","Non-SR"
"tdcB","out","Non-TR","Non-SR"
"yecE","out","Non-TR","Non-SR"
"tpr","out","Non-TR","Non-SR"
"rpsN","out","Non-TR","Non-SR"
"rpsB","out","Non-TR","Non-SR"
"hslO","out","Non-TR","Non-SR"
"hybF","out","Non-TR","Non-SR"
"yhaV","out","Non-TR","Non-SR"
"ybjX","out","Non-TR","Non-SR"
"pspE","out","Non-TR","Non-SR"
"mltA","out","Non-TR","Non-SR"
"mutL","out","Non-TR","Non-SR"
"pdxA","out","Non-TR","Non-SR"
"ygcO","out","Non-TR","Non-SR"
"hisI","out","Non-TR","Non-SR"
"pdxK","out","Non-TR","Non-SR"
"DhaR","out","TR","Non-SR"
"tonB","out","Non-TR","Non-SR"
"uraA","out","Non-TR","Non-SR"
"msrA","out","Non-TR","Non-SR"
"rlmF","out","Non-TR","Non-SR"
"sibA","out","Non-TR","Non-SR"
"yhhY","out","Non-TR","Non-SR"
"pta","out","Non-TR","Non-SR"
"hofM","out","Non-TR","Non-SR"
"ytiD","out","Non-TR","Non-SR"
"cheR","out","Non-TR","Non-SR"
"rplE","out","Non-TR","Non-SR"
"csgA","out","Non-TR","Non-SR"
"yjbJ","out","Non-TR","Non-SR"
"NfeR","out","TR","SR"
"caiB","out","Non-TR","Non-SR"
"hyfG","out","Non-TR","Non-SR"
"sraG","out","Non-TR","Non-SR"
"yaaX","out","Non-TR","Non-SR"
"dpaA","out","Non-TR","Non-SR"
"cusS","out","Non-TR","Non-SR"
"yciC","out","Non-TR","Non-SR"
"sbcC","out","Non-TR","Non-SR"
"pyrD","out","Non-TR","Non-SR"
"trxA","out","Non-TR","Non-SR"
"yqjA","out","Non-TR","Non-SR"
"hyfH","out","Non-TR","Non-SR"
"hicA","out","Non-TR","Non-SR"
"ssuD","out","Non-TR","Non-SR"
"ppdB","out","Non-TR","Non-SR"
"malZ","out","Non-TR","Non-SR"
"rspA","out","Non-TR","Non-SR"
"hyaC","out","Non-TR","Non-SR"
"rpsI","out","Non-TR","Non-SR"
"wzxE","out","Non-TR","Non-SR"
"opgH","out","Non-TR","Non-SR"
"yehX","out","Non-TR","Non-SR"
"kdpA","out","Non-TR","Non-SR"
"agaC","out","Non-TR","Non-SR"
"ugpQ","out","Non-TR","Non-SR"
"bamC","out","Non-TR","Non-SR"
"purT","out","Non-TR","Non-SR"
"DgoR","out","TR","SR"
"ynfD","out","Non-TR","Non-SR"
"yggE","out","Non-TR","Non-SR"
"ychA","out","Non-TR","Non-SR"
"cynT","out","Non-TR","Non-SR"
"rrfE","out","Non-TR","Non-SR"
"dadX","out","Non-TR","Non-SR"
"dinI","out","Non-TR","Non-SR"
"miaA","out","Non-TR","Non-SR"
"BaeR","out","TR","SR"
"recN","out","Non-TR","Non-SR"
"sibB","out","Non-TR","Non-SR"
"rplR","out","Non-TR","Non-SR"
"lsrF","out","Non-TR","Non-SR"
"intD","out","Non-TR","Non-SR"
"ynfB","out","Non-TR","Non-SR"
"mdtB","out","Non-TR","Non-SR"
"can","out","Non-TR","Non-SR"
"slyX","out","Non-TR","Non-SR"
"yfbV","out","Non-TR","Non-SR"
"prpC","out","Non-TR","Non-SR"
"ftp","out","Non-TR","Non-SR"
"phnG","out","Non-TR","Non-SR"
"cydB","out","Non-TR","Non-SR"
"ygdR","out","Non-TR","Non-SR"
"psd","out","Non-TR","Non-SR"
"ribF","out","Non-TR","Non-SR"
"rpmJ","out","Non-TR","Non-SR"
"pinQ","out","Non-TR","Non-SR"
"gadA","out","Non-TR","Non-SR"
"yiiM","out","Non-TR","Non-SR"
"lysV","out","Non-TR","Non-SR"
"glyW","out","Non-TR","Non-SR"
"gltJ","out","Non-TR","Non-SR"
"yehF","out","Non-TR","Non-SR"
"fes","out","Non-TR","Non-SR"
"gor","out","Non-TR","Non-SR"
"ruvA","out","Non-TR","Non-SR"
"aspC","out","Non-TR","Non-SR"
"ygaC","out","Non-TR","Non-SR"
"ydaT","out","Non-TR","Non-SR"
"recF","out","Non-TR","Non-SR"
"guaB","out","Non-TR","Non-SR"
"asd","out","Non-TR","Non-SR"
"rrrD","out","Non-TR","Non-SR"
"hyfD","out","Non-TR","Non-SR"
"glaH","out","Non-TR","Non-SR"
"AllS","out","TR","SR"
"ygdB","out","Non-TR","Non-SR"
"modB","out","Non-TR","Non-SR"
"fadH","out","Non-TR","Non-SR"
"elfA","out","Non-TR","Non-SR"
"yhfZ","out","Non-TR","Non-SR"
"ompX","out","Non-TR","Non-SR"
"deoB","out","Non-TR","Non-SR"
"panZ","out","Non-TR","Non-SR"
"yjeH","out","Non-TR","Non-SR"
"glnU","out","Non-TR","Non-SR"
"ycjY","out","Non-TR","Non-SR"
"phnF","out","Non-TR","Non-SR"
"lpd","out","Non-TR","Non-SR"
"ExuR","out","TR","SR"
"ynbD","out","Non-TR","Non-SR"
"ygjV","out","Non-TR","Non-SR"
"ung","out","Non-TR","Non-SR"
"ygcE","out","Non-TR","Non-SR"
"ligB","out","Non-TR","Non-SR"
"hofB","out","Non-TR","Non-SR"
"ribA","out","Non-TR","Non-SR"
"yhjD","out","Non-TR","Non-SR"
"amn","out","Non-TR","Non-SR"
"gyrA","out","Non-TR","Non-SR"
"htpX","out","Non-TR","Non-SR"
"slmA","out","Non-TR","Non-SR"
"kbaY","out","Non-TR","Non-SR"
"gspH","out","Non-TR","Non-SR"
"dinQ","out","Non-TR","Non-SR"
"glyU","out","Non-TR","Non-SR"
"wecF","out","Non-TR","Non-SR"
"RelB-RelE","out","TR","Non-SR"
"rpsP","out","Non-TR","Non-SR"
"ybcW","out","Non-TR","Non-SR"
"lacA","out","Non-TR","Non-SR"
"gsk","out","Non-TR","Non-SR"
"alsA","out","Non-TR","Non-SR"
"ytfE","out","Non-TR","Non-SR"
"ddpC","out","Non-TR","Non-SR"
"yjgH","out","Non-TR","Non-SR"
"cysA","out","Non-TR","Non-SR"
"HipAB","out","TR","Non-SR"
"yccM","out","Non-TR","Non-SR"
"casD","out","Non-TR","Non-SR"
"gpt","out","Non-TR","Non-SR"
"yfgG","out","Non-TR","Non-SR"
"ydbD","out","Non-TR","Non-SR"
"yigI","out","Non-TR","Non-SR"
"rpoA","out","Non-TR","Non-SR"
"mgtA","out","Non-TR","Non-SR"
"plsX","out","Non-TR","Non-SR"
"NhaR","out","TR","SR"
"rrfF","out","Non-TR","Non-SR"
"grxB","out","Non-TR","Non-SR"
"argY","out","Non-TR","Non-SR"
"yeaH","out","Non-TR","Non-SR"
"PdhR","out","TR","SR"
"thrA","out","Non-TR","Non-SR"
"ilvC","out","Non-TR","Non-SR"
"lsrB","out","Non-TR","Non-SR"
"sufE","out","Non-TR","Non-SR"
"glyV","out","Non-TR","Non-SR"
"serW","out","Non-TR","Non-SR"
"gcvR","out","Non-TR","Non-SR"
"yjbB","out","Non-TR","Non-SR"
"CreB","out","TR","SR"
"yfgD","out","Non-TR","Non-SR"
"mdtL","out","Non-TR","Non-SR"
"uspC","out","Non-TR","Non-SR"
"grcA","out","Non-TR","Non-SR"
"TyrR","out","TR","SR"
"ycaR","out","Non-TR","Non-SR"
"murP","out","Non-TR","Non-SR"
"entE","out","Non-TR","Non-SR"
"yghJ","out","Non-TR","Non-SR"
"yojI","out","Non-TR","Non-SR"
"fhuC","out","Non-TR","Non-SR"
"pspC","out","Non-TR","Non-SR"
"glpX","out","Non-TR","Non-SR"
"fruA","out","Non-TR","Non-SR"
"dcm","out","Non-TR","Non-SR"
"yehW","out","Non-TR","Non-SR"
"ymiC","out","Non-TR","Non-SR"
"mlaB","out","Non-TR","Non-SR"
"nhaA","out","Non-TR","Non-SR"
"thrW","out","Non-TR","Non-SR"
"waaQ","out","Non-TR","Non-SR"
"ecpA","out","Non-TR","Non-SR"
"trxB","out","Non-TR","Non-SR"
"ibpA","out","Non-TR","Non-SR"
"yjiL","out","Non-TR","Non-SR"
"yjhH","out","Non-TR","Non-SR"
"murQ","out","Non-TR","Non-SR"
"nfsB","out","Non-TR","Non-SR"
"csgE","out","Non-TR","Non-SR"
"sohB","out","Non-TR","Non-SR"
"rraA","out","Non-TR","Non-SR"
"nrfG","out","Non-TR","Non-SR"
"ybhH","out","Non-TR","Non-SR"
"eutT","out","Non-TR","Non-SR"
"yodC","out","Non-TR","Non-SR"
"yccA","out","Non-TR","Non-SR"
"uxaA","out","Non-TR","Non-SR"
"torT","out","Non-TR","Non-SR"
"appB","out","Non-TR","Non-SR"
"pgm","out","Non-TR","Non-SR"
"lysC","out","Non-TR","Non-SR"
"tauB","out","Non-TR","Non-SR"
"clpS","out","Non-TR","Non-SR"
"aceK","out","Non-TR","Non-SR"
"yiaM","out","Non-TR","Non-SR"
"ybdN","out","Non-TR","Non-SR"
"dcuC","out","Non-TR","Non-SR"
"atpB","out","Non-TR","Non-SR"
"pspD","out","Non-TR","Non-SR"
"flgH","out","Non-TR","Non-SR"
"lhr","out","Non-TR","Non-SR"
"gmk","out","Non-TR","Non-SR"
"mepH","out","Non-TR","Non-SR"
"nudB","out","Non-TR","Non-SR"
"xylB","out","Non-TR","Non-SR"
"hybO","out","Non-TR","Non-SR"
"ompC","out","Non-TR","Non-SR"
"frlB","out","Non-TR","Non-SR"
"rhlE","out","Non-TR","Non-SR"
"nuoL","out","Non-TR","Non-SR"
"ygcS","out","Non-TR","Non-SR"
"hisD","out","Non-TR","Non-SR"
"casB","out","Non-TR","Non-SR"
"ydfC","out","Non-TR","Non-SR"
"mdaB","out","Non-TR","Non-SR"
"ydcZ","out","Non-TR","Non-SR"
"tatD","out","Non-TR","Non-SR"
"MarR","out","TR","Non-SR"
"waaF","out","Non-TR","Non-SR"
"PutA","out","TR","SR"
"scpC","out","Non-TR","Non-SR"
"pphB","out","Non-TR","Non-SR"
"oppA","out","Non-TR","Non-SR"
"groS","out","Non-TR","Non-SR"
"mpl","out","Non-TR","Non-SR"
"nirB","out","Non-TR","Non-SR"
"malY","out","Non-TR","Non-SR"
"ppdA","out","Non-TR","Non-SR"
"nnr","out","Non-TR","Non-SR"
"ydhV","out","Non-TR","Non-SR"
"pheS","out","Non-TR","Non-SR"
"alsB","out","Non-TR","Non-SR"
"waaG","out","Non-TR","Non-SR"
"yebE","out","Non-TR","Non-SR"
"lolA","out","Non-TR","Non-SR"
"pspH","out","Non-TR","Non-SR"
"pfkB","out","Non-TR","Non-SR"
"cusB","out","Non-TR","Non-SR"
"atpG","out","Non-TR","Non-SR"
"kbaZ","out","Non-TR","Non-SR"
"rplX","out","Non-TR","Non-SR"
"gltI","out","Non-TR","Non-SR"
"tktB","out","Non-TR","Non-SR"
"cheB","out","Non-TR","Non-SR"
"acs","out","Non-TR","Non-SR"
"bglB","out","Non-TR","Non-SR"
"purB","out","Non-TR","Non-SR"
"ugpB","out","Non-TR","Non-SR"
"ccp","out","Non-TR","Non-SR"
"ynfG","out","Non-TR","Non-SR"
"pflA","out","Non-TR","Non-SR"
"sufB","out","Non-TR","Non-SR"
"fliN","out","Non-TR","Non-SR"
"speE","out","Non-TR","Non-SR"
"sodC","out","Non-TR","Non-SR"
"lsrD","out","Non-TR","Non-SR"
"fadE","out","Non-TR","Non-SR"
"ibsD","out","Non-TR","Non-SR"
"cynX","out","Non-TR","Non-SR"
"hslJ","out","Non-TR","Non-SR"
"tdh","out","Non-TR","Non-SR"
"hybB","out","Non-TR","Non-SR"
"thrT","out","Non-TR","Non-SR"
"hofO","out","Non-TR","Non-SR"
"serV","out","Non-TR","Non-SR"
"pgi","out","Non-TR","Non-SR"
"glnL","out","Non-TR","Non-SR"
"xylH","out","Non-TR","Non-SR"
"GntR","out","TR","SR"
"puuP","out","Non-TR","Non-SR"
"oxyS","out","Non-TR","Non-SR"
"ldhA","out","Non-TR","Non-SR"
"bamE","out","Non-TR","Non-SR"
"gnsA","out","Non-TR","Non-SR"
"mdtC","out","Non-TR","Non-SR"
"ydeE","out","Non-TR","Non-SR"
"ykgL","out","Non-TR","Non-SR"
"yjcO","out","Non-TR","Non-SR"
"ivbL","out","Non-TR","Non-SR"
"glnV","out","Non-TR","Non-SR"
"ivy","out","Non-TR","Non-SR"
"ibaG","out","Non-TR","Non-SR"
"rseD","out","Non-TR","Non-SR"
"fecE","out","Non-TR","Non-SR"
"waaU","out","Non-TR","Non-SR"
"nuoK","out","Non-TR","Non-SR"
"glxR","out","Non-TR","Non-SR"
"phoE","out","Non-TR","Non-SR"
"yffO","out","Non-TR","Non-SR"
"yciG","out","Non-TR","Non-SR"
"hemA","out","Non-TR","Non-SR"
"sgbE","out","Non-TR","Non-SR"
"alaE","out","Non-TR","Non-SR"
"cysJ","out","Non-TR","Non-SR"
"YgiV","out","TR","Non-SR"
"yfeY","out","Non-TR","Non-SR"
"narU","out","Non-TR","Non-SR"
"yqiA","out","Non-TR","Non-SR"
"chbC","out","Non-TR","Non-SR"
"cydD","out","Non-TR","Non-SR"
"sgrS","out","Non-TR","Non-SR"
"fucI","out","Non-TR","Non-SR"
"ArsR","out","TR","SR"
"fadI","out","Non-TR","Non-SR"
"mscL","out","Non-TR","Non-SR"
"gspG","out","Non-TR","Non-SR"
"ccmA","out","Non-TR","Non-SR"
"puuA","out","Non-TR","Non-SR"
"umpG","out","Non-TR","Non-SR"
"mtlR","out","Non-TR","Non-SR"
"ccmC","out","Non-TR","Non-SR"
"fic","out","Non-TR","Non-SR"
"plsB","out","Non-TR","Non-SR"
"ppx","out","Non-TR","Non-SR"
"yjbH","out","Non-TR","Non-SR"
"esrE","out","Non-TR","Non-SR"
"moaC","out","Non-TR","Non-SR"
"yjbE","out","Non-TR","Non-SR"
"nuoE","out","Non-TR","Non-SR"
"panB","out","Non-TR","Non-SR"
"yliM","out","Non-TR","Non-SR"
"citC","out","Non-TR","Non-SR"
"lsrA","out","Non-TR","Non-SR"
"acnB","out","Non-TR","Non-SR"
"gfcA","out","Non-TR","Non-SR"
"ytfR","out","Non-TR","Non-SR"
"ygeH","out","Non-TR","Non-SR"
"tfaQ","out","Non-TR","Non-SR"
"rpmC","out","Non-TR","Non-SR"
"rutC","out","Non-TR","Non-SR"
"rydC","out","Non-TR","Non-SR"
"holC","out","Non-TR","Non-SR"
"ileT","out","Non-TR","Non-SR"
"aceE","out","Non-TR","Non-SR"
"entC","out","Non-TR","Non-SR"
"metZ","out","Non-TR","Non-SR"
"nrdA","out","Non-TR","Non-SR"
"yidQ","out","Non-TR","Non-SR"
"ssnA","out","Non-TR","Non-SR"
"clsC","out","Non-TR","Non-SR"
"glyY","out","Non-TR","Non-SR"
"araH","out","Non-TR","Non-SR"
"yfcZ","out","Non-TR","Non-SR"
"recQ","out","Non-TR","Non-SR"
"kdsA","out","Non-TR","Non-SR"
"mpaA","out","Non-TR","Non-SR"
"ttdB","out","Non-TR","Non-SR"
"tdcF","out","Non-TR","Non-SR"
"pcnB","out","Non-TR","Non-SR"
"creC","out","Non-TR","Non-SR"
"melA","out","Non-TR","Non-SR"
"selC","out","Non-TR","Non-SR"
"yhbW","out","Non-TR","Non-SR"
"epd","out","Non-TR","Non-SR"
"erpA","out","Non-TR","Non-SR"
"fadL","out","Non-TR","Non-SR"
"yqaE","out","Non-TR","Non-SR"
"intS","out","Non-TR","Non-SR"
"aceA","out","Non-TR","Non-SR"
"rplB","out","Non-TR","Non-SR"
"rfbC","out","Non-TR","Non-SR"
"ttdA","out","Non-TR","Non-SR"
"nudC","out","Non-TR","Non-SR"
"nlpE","out","Non-TR","Non-SR"
"narJ","out","Non-TR","Non-SR"
"yfbL","out","Non-TR","Non-SR"
"bioD","out","Non-TR","Non-SR"
"norV","out","Non-TR","Non-SR"
"nanY","out","Non-TR","Non-SR"
"hlyE","out","Non-TR","Non-SR"
"pabC","out","Non-TR","Non-SR"
"speB","out","Non-TR","Non-SR"
"cstA","out","Non-TR","Non-SR"
"rlmM","out","Non-TR","Non-SR"
"rpsR","out","Non-TR","Non-SR"
"uxaB","out","Non-TR","Non-SR"
"patD","out","Non-TR","Non-SR"
"htpG","out","Non-TR","Non-SR"
"yihU","out","Non-TR","Non-SR"
"PuuR","out","TR","SR"
"fecD","out","Non-TR","Non-SR"
"micC","out","Non-TR","Non-SR"
"yohO","out","Non-TR","Non-SR"
"sroH","out","Non-TR","Non-SR"
"sgcB","out","Non-TR","Non-SR"
"csrC","out","Non-TR","Non-SR"
"agaD","out","Non-TR","Non-SR"
"yrbL","out","Non-TR","Non-SR"
"cpxA","out","Non-TR","Non-SR"
"FhlA","out","TR","SR"
"yqhG","out","Non-TR","Non-SR"
"fepA","out","Non-TR","Non-SR"
"artQ","out","Non-TR","Non-SR"
"hisH","out","Non-TR","Non-SR"
"marB","out","Non-TR","Non-SR"
"ftsW","out","Non-TR","Non-SR"
"nadB","out","Non-TR","Non-SR"
"hiuH","out","Non-TR","Non-SR"
"bfr","out","Non-TR","Non-SR"
"yicH","out","Non-TR","Non-SR"
"ycgB","out","Non-TR","Non-SR"
"ptsG","out","Non-TR","Non-SR"
"cmtB","out","Non-TR","Non-SR"
"gdhA","out","Non-TR","Non-SR"
"pepT","out","Non-TR","Non-SR"
"ydcY","out","Non-TR","Non-SR"
"rplW","out","Non-TR","Non-SR"
"ydcO","out","Non-TR","Non-SR"
"AsnC","out","TR","SR"
"dcuD","out","Non-TR","Non-SR"
"fadB","out","Non-TR","Non-SR"
"aroM","out","Non-TR","Non-SR"
"tpiA","out","Non-TR","Non-SR"
"mdtD","out","Non-TR","Non-SR"
"argB","out","Non-TR","Non-SR"
"yhbO","out","Non-TR","Non-SR"
"chiX","out","Non-TR","Non-SR"
"nrdD","out","Non-TR","Non-SR"
"ybeD","out","Non-TR","Non-SR"
"clpX","out","Non-TR","Non-SR"
"ynfH","out","Non-TR","Non-SR"
"ampC","out","Non-TR","Non-SR"
"mscS","out","Non-TR","Non-SR"
"hcp","out","Non-TR","Non-SR"
"omrA","out","Non-TR","Non-SR"
"mbiA","out","Non-TR","Non-SR"
"trpC","out","Non-TR","Non-SR"
"yqhD","out","Non-TR","Non-SR"
"CysB","out","TR","SR"
"PlaR","out","TR","Non-SR"
"ilvD","out","Non-TR","Non-SR"
"ynjF","out","Non-TR","Non-SR"
"ymgA","out","Non-TR","Non-SR"
"paaK","out","Non-TR","Non-SR"
"fimA","out","Non-TR","Non-SR"
"hyfF","out","Non-TR","Non-SR"
"yaiA","out","Non-TR","Non-SR"
"yiaA","out","Non-TR","Non-SR"
"recR","out","Non-TR","Non-SR"
"napG","out","Non-TR","Non-SR"
"aaeX","out","Non-TR","Non-SR"
"cusF","out","Non-TR","Non-SR"
"eamA","out","Non-TR","Non-SR"
"IlvY","out","TR","SR"
"pssA","out","Non-TR","Non-SR"
"msrB","out","Non-TR","Non-SR"
"alaA","out","Non-TR","Non-SR"
"pykF","out","Non-TR","Non-SR"
"ispD","out","Non-TR","Non-SR"
"gltL","out","Non-TR","Non-SR"
"apaH","out","Non-TR","Non-SR"
"ubiG","out","Non-TR","Non-SR"
"lepB","out","Non-TR","Non-SR"
"caiA","out","Non-TR","Non-SR"
"gspO","out","Non-TR","Non-SR"
"ytfK","out","Non-TR","Non-SR"
"sucD","out","Non-TR","Non-SR"
"cpxQ","out","Non-TR","Non-SR"
"talA","out","Non-TR","Non-SR"
"moeB","out","Non-TR","Non-SR"
"frdB","out","Non-TR","Non-SR"
"fepB","out","Non-TR","Non-SR"
"nuoA","out","Non-TR","Non-SR"
"msbA","out","Non-TR","Non-SR"
"pyrI","out","Non-TR","Non-SR"
"pheM","out","Non-TR","Non-SR"
"eutH","out","Non-TR","Non-SR"
"fbaB","out","Non-TR","Non-SR"
"hyfC","out","Non-TR","Non-SR"
"tyrP","out","Non-TR","Non-SR"
"NikR","out","TR","SR"
