Gene,41_1Ti9,E101,E1167,HS,H120,TA054,TA249,TA280,TA447,M114,E1114,MG1655,ROAR8,JJ1886,UTI89,S88
emrA,7.228560732,7.23828476,7.038002071,7.154247528,6.931815711,7.352869453,6.345638045,6.877850581,7.54367678,6.809292405,7.710958798,5.597713242,7.005589857,6.8962052,6.149150642,5.866023695
emrB,6.260043319,6.229262747,5.877639711,5.831435529,6.082949811,6.083077038,5.999531847,6.045832766,6.583264291,6.217351881,6.608163896,4.796464536,6.164625627,5.958622584,5.38762438,5.206187315
emrK,1.803320342,1.471235674,2.016334186,1.835773755,1.652717381,2.193927918,1.503255636,0.822151774,2.270168473,1.935418475,2.425851744,0.858214431,0.819486745,0.592062548,0.737572649,1.112212493
emrY,1.354506394,2.743701527,2.050004564,2.259356172,1.864385609,2.679997174,1.00263279,1.003534625,2.541149795,1.223811304,2.841218492,0.632703581,1.503069339,1.078778934,1.027794567,0.972151659
emtA,5.327557596,5.310499502,5.138669301,5.255961365,4.848322052,5.091493385,4.889900934,4.845735681,5.407053786,4.612779102,4.864100774,4.06076793,4.66081941,4.044246891,4.575768764,4.839990759
endA,5.429975488,5.028907967,4.89537669,5.396980609,4.570110313,5.730532096,4.712290901,4.727081132,5.773999576,5.088416287,4.474332713,1.922955705,4.57665724,5.187986157,4.362604121,4.960603084
eno,11.92419366,11.50417479,11.70224099,11.70102621,11.66250806,11.53170878,11.95347954,11.7862123,11.80385937,11.84296715,11.81092366,11.75705713,12.01484703,12.20521321,11.92579974,12.03692203
entA,2.202632032,4.296035748,2.980631073,3.058079274,2.62380686,3.666968305,4.988004207,3.318447216,2.681830031,3.585514684,3.627387325,5.119933008,4.144359078,3.045384627,4.49964848,4.098857023
entB,2.86276384,5.760624989,2.359442127,3.143951093,3.18444869,4.576573376,6.135657389,4.225990737,3.114652687,4.559998311,3.864103199,5.727971803,5.194634711,3.363574264,6.092354323,5.319707527
entC,2.845355675,5.39271424,2.316319801,2.554555478,1.865170565,3.882417596,4.554535253,3.170814504,2.596171072,3.017977832,3.947614521,4.966064507,4.013719802,1.72439461,4.831301863,4.300103568
entD,2.117504594,3.927223787,2.959123279,3.065298572,1.816035172,3.361704683,3.857451901,2.537656501,2.091909967,2.616108265,2.971286219,3.481948031,2.119298516,2.169228114,3.365117961,2.395918189
entE,1.798745411,4.913083911,2.069131902,2.087164091,2.23585729,3.026170476,3.965475538,2.515244378,2.227761897,2.475376857,3.618896599,5.165206025,3.403286625,2.572714724,4.499978591,3.936093501
entF,2.999296998,5.128376962,2.520233833,2.668765561,2.250084347,3.786233417,4.566459798,3.476759973,3.600271031,4.025025665,3.382573291,4.723958404,4.339716498,2.578673598,5.011860408,4.838752847
entH,0.944826313,3.728362395,2.134931995,2.20551002,2.334210767,3.306393278,4.597794811,2.8483833,3.292227961,2.856087985,3.528542631,3.872043536,3.779206646,3.19886199,4.344124184,3.826266574
entS,1.153418627,3.445715178,1.612624096,1.581321075,0.819265767,3.218685092,2.02072218,2.032322445,0.978436192,1.875722778,1.870985673,2.009014738,1.619139759,1.066704824,1.982242578,2.824750179
envC,6.091696024,6.288524256,6.715613914,7.141785656,6.339058621,6.682209341,6.196283387,6.018498186,6.728061152,6.061792039,6.747296036,5.638731002,6.039998993,5.830875298,6.052051258,6.090159371
envZ,6.201972954,5.940808769,5.801784908,6.035120116,5.927651342,6.281375318,5.967214204,5.803293149,6.099870849,6.095760168,5.769797911,5.432570543,5.988693198,5.78999048,6.28693177,6.389430557
epd,8.3885648,8.876650863,8.867382474,8.588182958,8.414182834,8.085091902,8.724235608,8.662942115,8.926279446,8.775681703,9.569811624,9.446177593,9.087118488,9.549728155,9.545057841,9.479324428
epmA,5.386740276,5.70067448,5.914426892,6.008209583,6.112898057,6.372194509,4.318491812,5.365302324,6.264130361,5.29459678,5.99830032,3.314843249,5.042051471,4.944283907,5.109120113,5.028113846
epmB,5.685325886,6.026019939,6.12726458,6.242137981,6.030950377,6.158778027,5.053939327,5.269560989,6.006948412,5.078232548,6.250789555,5.70166701,5.181964546,5.012626778,4.977087574,5.271079727
epmC,5.814798426,6.775827567,6.387319288,6.31428568,6.013143734,6.687002678,5.715490511,5.583474797,6.743241214,5.240006652,6.713797461,5.499251231,5.195918827,6.094816698,5.917159215,5.946179068
eptA,6.817020762,6.602535239,6.59302741,6.580516782,6.993494827,6.708992372,5.699625299,7.056825231,6.029126301,7.044827557,6.814714907,4.445478411,7.656021697,6.581202039,6.268099326,6.363368453
eptB,4.388587327,3.879581849,4.452086264,4.741719283,3.985295804,4.086469269,3.76046982,4.103211745,4.596738457,4.119696509,4.958236412,4.336117545,4.050790576,3.679442553,4.144131834,4.147046704
era,8.261002673,8.122277805,8.079400357,7.843366809,7.709898664,7.943722818,7.008139928,7.617485367,7.510921626,7.94125289,7.926082565,6.881876838,7.585886951,7.190528719,7.392868484,7.4749966
erpA,8.032530179,8.884835176,8.328821741,8.422551593,8.465642351,8.859482464,7.71938779,8.044330068,8.560252675,8.105147824,8.687200853,7.691199434,8.325045328,7.89854201,7.863685285,8.173261336
ettA,9.331524031,9.048367845,8.707619504,8.938245099,8.762656263,8.99645245,8.538677891,9.071867751,9.028875642,9.134021678,8.952319791,8.85216891,8.810834504,8.84986779,8.448969254,8.593395109
eutA,1.540625643,1.567098202,1.064475534,1.064729759,1.684319217,1.810752969,1.248047681,1.373998904,1.593292111,1.527248861,2.025859836,1.231253315,1.383315798,2.29320043,2.284815151,1.549103476
eutC,2.521937728,3.236157256,2.454403749,2.471120501,2.831514755,3.240988937,2.809979288,2.940387555,2.118292543,0.732372153,4.053219751,5.243698879,2.81041759,3.269986855,2.37885773,2.192763219
eutE,0.796878373,1.485164632,1.115674171,0.391697977,1.340671083,1.40343385,0.65116875,1.184917523,0.612025869,0.739108251,1.399763952,0.487758958,1.428030519,2.054844591,0.865294555,1.038605833
eutG,0.763088125,1.047949095,0.280926139,0.27478013,0.818831204,0.621420842,1.051958665,0,0.699975644,0.643659962,0.493755525,0.307664015,0.708160252,0.582218533,0.904463214,1.096463668
eutH,1.562197258,1.177078716,1.41420766,0.920168965,1.652380473,1.527394089,1.762704785,1.496470253,0.467471821,1.28447254,2.307819082,0.330007846,1.553210683,1.911035684,1.562970003,1.146175928
eutJ,0.664365797,1.330722982,0.937627377,0.376061856,0.858589885,1.225716622,1.253426642,0,0.642466861,0.642671429,0.732985003,1.091081126,0,0.855539978,0.388867745,0.813843102
eutK,3.111591965,3.346089257,2.460174101,2.453547958,3.261592784,3.487136628,3.080678885,1.612565426,2.233271956,0,4.044207477,5.255541393,2.791362324,3.462104107,3.215668971,3.103838736
eutL,2.76595981,3.624394217,2.884292411,2.579374786,3.04359796,2.960457586,2.977535268,3.078951037,2.777564975,1.047949095,3.67297186,5.345516554,2.234887156,3.493790591,2.934029075,3.075087882
eutN,0,1.303303936,0,0,1.034234688,1.078344985,0,0,0,0,0,0,0,0,0,0
eutP,1.376040859,2.544943875,2.240141725,1.498163524,2.393524165,2.322448622,1.383486694,1.052411254,2.78676577,1.152853054,2.18117085,2.78306367,1.232651024,1.791143617,1.687356128,1.465760041
eutQ,1.615673413,2.004014874,1.222601432,0.438359464,1.555484658,2.013308281,0.464974838,1.303756686,0.738880112,1.537607634,1.366695921,1.141952507,1.509002658,2.126087875,1.571486426,1.768900107
eutR,2.182445018,2.414134419,2.13602599,2.042422232,1.982527957,2.499996184,2.263915621,2.223969887,2.026477567,1.225452386,2.34949555,3.848881435,2.353620205,2.830311832,2.538107406,3.1094777
eutS,2.474752003,2.274404696,0.762650847,0.723973188,1.483682997,2.444061018,0.843615139,1.341573757,2.205624285,1.26185126,1.834954969,2.124918859,0.641696507,1.603025194,0,1.308512767
eutT,1.947742211,2.690052314,1.767667664,0.347509795,1.934384917,1.995094131,0.971284888,0.71474231,1.738157307,1.412340074,1.319841704,1.566190535,1.385111465,2.952570619,2.183548571,1.960875925
evgA,7.432086042,7.684063447,7.947004082,7.55407998,7.767783654,7.204456602,7.328633987,7.390680585,7.808429379,7.023285687,9.548601833,7.345432679,6.769225356,5.893604076,5.322608655,6.24704014
exbB,6.45097002,7.722395637,6.700994611,6.876845834,6.64339393,7.27907955,8.09353758,6.817451852,6.979731704,6.805789049,7.832341765,7.023394726,7.303539665,7.916362347,8.763324197,8.476927498
exbD,6.11512798,7.882068156,6.35344596,6.87572499,6.615709951,7.514643346,7.71638241,6.415846021,6.654378321,6.096493408,7.616061257,6.812049775,7.353933718,7.072439421,7.873104374,8.020175695
exoX,5.179195618,5.85178068,5.247149769,5.527127645,5.246455369,5.953569125,5.715369679,5.19900573,6.165800737,5.332492156,6.673303172,5.343808085,4.958454685,5.744864797,6.546026154,6.48087274
exuR,6.657138959,6.985123626,6.828603186,6.613950651,6.655833646,6.762368696,7.248712602,6.907911105,6.911091392,7.074520533,7.015988104,7.738836895,7.782804559,7.16747737,7.768799931,7.396729411
exuT,4.105464515,5.468759681,4.199010949,4.135008858,4.048406044,5.357962931,4.738203484,5.140001509,4.94007319,5.147879294,4.61271749,4.377298464,5.084208905,5.460354413,5.91176596,6.04310264
fabA,7.496911852,7.931351379,8.241813112,8.125939837,8.307994554,7.995548782,7.127222317,7.412547365,8.347816073,7.124124285,7.543825217,7.735591766,7.227767213,6.930977905,6.37821918,6.884247591
fabB,10.32905358,10.16678374,9.55037891,9.892468832,9.778548198,9.556562605,10.10412954,10.34259458,10.34350876,10.14376242,9.698089916,10.11643247,9.947029901,10.26383842,9.73549766,10.24657144
fabD,10.53020058,10.32309603,10.22281424,10.56646525,10.44699754,9.965554998,10.33067678,10.14460445,10.57877885,10.28674295,10.46932892,10.20612146,10.44441006,9.779445566,9.955532673,9.735534185
fabF,10.912794,10.84412445,10.90658593,10.90521691,10.75811878,10.60782421,10.66972416,10.86870515,11.01366451,10.69857495,10.56288763,9.765752388,10.65014926,10.68444227,10.03833755,10.32844296
fabG,10.75714627,10.97101511,11.00703936,10.92820137,10.89332339,10.93695457,10.89526383,10.83934486,11.09482964,10.53717011,10.87696427,10.87614173,11.01184069,10.84253546,10.76043479,10.79444463
fabH,7.987926418,8.37932487,8.658576327,8.689269785,8.425131429,8.472567672,7.821580897,7.978107484,8.735979482,8.030540396,8.257200346,7.975942151,7.931099733,8.085196405,7.783778012,7.932910538
fabR,6.084258163,6.460549973,6.334427243,6.385811398,6.365042863,6.868202373,6.528871146,6.552533029,6.656287343,6.630343203,6.855011072,6.813727172,6.341476142,6.622644402,6.85750201,7.140259685
fabZ,9.006347989,9.873742813,10.15609909,10.26148046,9.84478556,10.09365689,9.336029488,9.25437564,10.00762572,9.616043692,9.993481541,8.962601485,9.228033692,9.294580858,9.01577007,8.934300496
fadA,3.582548243,3.304423594,3.042460202,2.761639118,3.494493685,3.63390557,2.074138843,3.296216918,3.164611702,2.654840306,2.584539655,2.770294999,4.101788355,2.070813632,2.503749881,2.736307166
fadB,3.621416305,4.425704796,4.090130294,3.873591668,4.904135843,4.402721739,3.643795163,4.487454303,4.367925948,3.357821079,3.752166579,3.169059522,4.157430507,2.952737588,2.995661347,3.059704199
fadD,5.409040554,5.226390702,5.768124799,5.525010707,5.455087367,5.507772163,4.393340858,5.32483386,5.254865659,4.977379342,4.974538712,4.299907977,4.812446085,4.906473202,4.305248924,4.459447627
fadE,4.744676967,4.193062378,3.375945672,3.372037387,4.091557187,4.098610532,2.957856479,4.047876303,3.353073631,3.954683142,4.352817597,3.980355023,3.735931711,2.007015509,3.142867002,2.984333373
fadH,2.657777362,3.294876072,2.37135708,2.195401221,3.166584059,3.104848564,2.395904252,2.909002082,1.393949966,2.49364195,4.704216022,3.294484706,2.435394315,2.007213351,2.864790422,2.228561917
fadI,2.932250944,3.480433688,2.734206913,3.734811985,3.179201466,4.039966431,2.948594306,3.341940827,3.749484398,3.068365738,4.312108936,3.806304797,3.105842952,2.337584854,2.284517155,2.732299122
fadJ,3.417151321,3.241702267,3.381164112,3.575730041,4.022709293,4.177063903,3.625461227,3.402739194,3.789451308,3.643522265,4.588525567,3.94015619,3.581136832,2.740991531,3.240347631,4.606761
fadM,3.701758004,4.835348089,3.880781052,3.613350285,3.629179666,3.810068644,3.54910218,3.316493899,3.488823954,3.861840444,4.846857263,3.257822909,3.62857386,2.975292012,3.626876863,3.39768399
fadR,5.606013754,6.094006923,6.026847868,5.686134482,5.843232724,6.270494722,5.799744499,5.801512036,6.161515969,6.250766889,5.087264974,6.075812958,5.648032306,6.244260147,6.512650694,6.467884433
fau,7.50110746,7.667153927,7.478876773,5.679693598,7.716723572,7.500247133,7.70823522,7.483093485,7.984688997,11.21400148,7.526057821,7.818825337,7.736393278,7.921464274,8.406250222,8.219880174
fbaA,11.57934943,11.62956807,11.5064192,11.10403222,11.21374609,11.09328514,11.59414937,11.22249337,11.82794631,11.32547193,11.80077272,11.59206292,11.57170337,11.88701496,11.71842776,11.64410993
fbaB,7.737442607,8.2605609,6.760549504,6.594855301,7.888261565,7.628541166,7.655319795,7.486155684,6.732384752,6.767591237,8.643711343,7.727663464,6.972852549,5.593644617,7.504282096,7.622098314
fbp,9.197436644,9.145660084,9.229378705,9.343914274,9.467591905,8.830898206,8.824915832,9.395592945,8.602771407,9.020717744,9.198124604,8.311037044,8.711683603,8.259072074,8.660304443,8.770522026
fdhD,5.147158246,5.244244076,5.030619435,5.187701176,5.328303181,5.288731016,4.580990538,5.24724418,5.626999851,5.130957305,5.17674625,4.722180919,5.113778962,4.594065027,4.94088554,4.800901625
fdhE,8.024617316,8.341102875,8.394215107,8.188817487,8.31327134,8.841264741,8.059298243,8.462838313,8.285913526,8.226467706,8.497849983,8.126197532,8.541376205,8.346705693,8.420516907,8.198925769
fdhF_1,5.774211392,5.492561373,5.143129491,4.620142492,4.337238442,5.476666598,6.009881019,5.342850733,5.585858996,4.859574027,5.685598403,3.981108895,5.672015914,5.782369691,6.4762729,6.668486557
fdhF_2,6.327717547,5.315672854,5.596015288,4.517146392,4.98829398,5.378856738,6.74498095,6.185948297,5.858409547,6.101498322,5.713073621,3.284016947,6.594787677,6.872120584,7.283659656,7.616166297
fdoG_1,9.760330354,10.10009709,9.428189205,9.444303757,9.475056474,10.29182611,9.972297376,9.932747377,9.507373305,10.00290192,10.57255101,10.23585144,10.00141994,9.792661564,10.19119502,10.27676166
fdoH,8.73298409,9.063088625,8.235338289,8.015284957,8.337110386,9.280748567,8.724114621,8.994269235,8.177774248,8.859397057,9.33945485,8.90057845,9.186697393,8.679746746,9.130811894,9.329378831
fdoI,8.936530585,9.025929115,8.415809349,8.141080759,8.302160774,9.176177916,8.656383245,8.736552541,8.178277158,8.97304671,9.723326792,8.93662189,9.273163892,9.146539217,9.322473481,9.384997759
fdrA,0.939830433,1.180963417,0.471364108,0.676024734,0.239953126,0.759111794,0.760880387,0.549515646,0.357841355,1.000862008,1.219656137,0,0.829418751,0.496197836,0.847033482,1.13092331
fdx,7.854620495,7.408296652,7.017097555,7.576731854,6.984200765,7.517182002,8.048692388,8.015461881,7.49061712,7.578428783,7.557923135,7.744654824,8.147369776,7.734241031,7.619956467,7.942535831
feoA,8.456751243,8.354858042,7.493622675,7.774912486,7.539960784,8.114192301,10.60028171,8.556045737,8.294785135,8.899457977,7.880182297,8.4213938,9.367582632,9.202181366,10.59005966,10.46690098
feoC,6.810237013,7.736106031,6.931006359,6.426343454,6.767496041,7.211784972,6.96382634,6.684371008,7.355572783,7.042352986,6.524085256,8.138358469,7.063032812,6.54610564,8.111001114,8.299512975
fepA,2.958365743,4.592916838,2.318659612,2.378996538,1.547818788,3.57635552,4.64066321,3.284139761,2.576697149,2.906496327,1.84644983,4.249409756,4.454241474,2.481039518,4.672698295,3.902502929
fepB,4.309047048,4.938649148,4.154817733,4.121725406,4.293387217,4.714627267,5.293432521,4.239278874,3.584120778,4.818772367,4.704727303,4.585930711,4.449375459,4.0509076,5.057794538,4.805091306
fepC,2.773112845,4.800426641,2.241500484,2.670646402,2.58620472,3.450028269,4.439972539,2.568067595,2.896516637,3.898848321,3.874357876,4.733836761,3.227097602,3.010290923,4.740477312,4.844335219
fepE,0.769264488,1.241605296,0.360861254,0,1.179560923,0.956090264,0.556639628,0,1.206911217,1.025439702,0.591852477,0,0.83593237,4.035332186,1.098760172,1.479621572
fepG,2.184143212,3.092914397,1.192794294,2.106967039,0.784383275,3.192513118,3.011255968,1.4857379,2.124986442,2.457851092,2.615085563,3.351913831,1.995758232,1.878332223,2.307479107,2.726298857
fes,2.35911721,3.616412268,1.81939002,1.851690606,1.864166945,3.269171776,4.492275273,1.848396351,2.00975369,2.829451939,2.38727387,4.108788999,3.240091269,1.43695084,4.080613611,4.072042061
fetA,7.129514888,5.984866693,5.937084971,5.118123065,5.890410825,5.832217924,6.725882822,6.120317832,5.978806015,7.810469088,6.045988476,6.526921184,6.510298657,6.962438821,7.129461338,6.927130001
fetB,4.996801938,4.319778806,3.713106835,3.509377629,3.903340728,4.18746545,5.493818264,4.612507229,4.340828589,5.208247952,4.174003933,4.361071844,4.104320702,4.611871585,5.426992963,4.995680695
ffh,7.636136454,7.986468227,7.883856295,7.902512731,7.741081131,7.795621476,7.497870118,7.774264253,8.16536374,7.653563215,7.753732323,7.641161126,7.424584179,7.432294198,7.37508701,7.424377859
fhlA,4.775627463,5.193931196,5.094784671,4.385929693,5.186745862,4.961151609,4.737802666,4.431689658,5.125163398,4.475006908,5.689441564,3.518395212,3.946323165,4.317383533,4.852954301,5.114971795
fhuB,2.58995424,3.913688782,2.203548638,2.705185912,1.868941653,3.693115052,3.245118083,3.059567913,3.448130341,2.760267431,3.46260329,3.580774898,3.361432902,2.654348673,3.904552365,3.694072783
fhuC,4.113984573,5.814214749,3.636797426,4.317182174,3.4530957,5.542018288,5.639330055,3.793913322,5.418774586,4.413341071,5.066271331,6.129387566,5.261265449,4.298503253,4.984098205,4.928079422
fhuD,3.630671597,5.13572884,3.425662676,3.907735583,3.079401318,5.035573294,4.12672808,3.58940809,4.429807034,3.930227949,4.899149614,5.112500717,3.740225051,3.759822261,4.843436705,4.722087461
fhuE,1.903688075,3.696960961,2.549961031,2.613269543,1.758293893,2.074723488,3.490542824,2.609456774,2.188070014,2.664000319,3.212974688,3.936677259,2.622125971,3.151968102,2.808482538,3.187520591
fhuF,4.00409687,7.160460544,3.505638833,4.208287297,3.574040519,5.232548687,5.480537029,3.556338177,5.050360343,4.626781933,6.417714538,7.942611196,5.343373413,4.077718436,7.491647925,5.455483179
fic,4.288780238,5.274587458,3.684694955,3.769969641,4.752951532,4.797843542,4.662115663,4.341532325,4.727859569,4.045186418,5.553051497,5.907055624,3.978459208,2.843883219,5.377146803,5.55265552
fieF,6.824560514,6.535476907,7.14241916,7.191711663,7.259749877,6.860701331,6.902276939,6.82487913,7.100537915,6.323192096,7.107884634,6.357474216,6.534658688,6.447605003,6.607316838,6.842383333
fis,9.275174297,9.58456714,10.42533925,10.55243338,10.28694735,10.48784481,8.681445463,9.289087041,10.3145417,8.862480739,9.831426759,7.545508346,9.114359408,9.171675742,8.721449691,8.784596883
fiu,2.643462285,3.99995929,2.195255694,2.486466302,2.312157391,2.821910048,3.820233059,2.781118117,2.659249447,3.145031523,3.129501447,5.407250407,3.071865418,1.988258215,5.262842593,5.136546709
fixA,1.619220015,3.367604202,3.612637853,2.900283481,3.297019918,2.952569793,2.001838828,2.495217047,3.455669488,2.218953478,2.665636465,2.659335065,2.364572239,2.443695393,2.883838274,2.428916228
fixB,1.344003029,1.792492905,2.251956964,2.088980116,1.823021482,2.403653702,2.137778679,1.673118117,1.909370305,1.804593235,1.97870147,1.484737447,1.939240523,2.251528843,1.431526335,1.698085066
fixC,1.314808619,2.300464237,2.373753569,1.627845396,1.920945298,1.852758056,1.887676734,2.487075955,2.060193915,1.621120429,1.78602484,2.22514187,1.822194572,1.871867538,1.883322807,1.728314236
fixX,0,0.845993191,1.781619073,0,0.87200733,0.637662322,0,0,1.929756788,0,0.881052008,0,1.853633513,0,0.945064365,1.67924894
fklB,8.249757897,8.400822394,8.394825695,8.508597708,8.235409388,8.546554431,8.382161135,8.357882158,8.690539536,8.202911112,8.084199545,8.089987299,8.351210436,8.311548557,8.494242162,8.103720689
fkpA,8.063893546,8.323981858,8.102832047,8.223510783,8.152995491,8.709692682,8.025553134,8.148756364,8.409500559,7.924661154,8.535738674,7.126408113,8.237841287,8.161967019,8.143751579,8.539717763
fkpB,7.594856928,7.960980086,7.854359816,8.23246205,7.882450845,7.932567355,7.068029863,6.860796962,8.327956535,7.786161403,8.138387164,7.69667868,7.321358446,7.05934723,7.134092161,7.298965653
fldA,9.516643952,9.418734875,9.547121019,9.274275762,9.402106499,9.220068761,8.916324429,8.47671726,9.633360064,9.586576218,8.962321796,8.889683507,8.729864167,8.683156354,8.565629515,8.803361487
fldB,7.167812488,6.489931386,6.576306481,6.928562943,6.458369499,6.760460386,6.632186006,7.04622066,7.102510732,6.97595831,6.478074249,7.113629491,6.92496223,7.141309792,7.091932829,7.64154755
flgA,6.359122623,3.491705582,6.336157569,6.121451114,3.58203811,6.560053719,7.672596521,7.509473889,4.58755791,4.505105436,3.542450723,3.694389754,6.629532934,9.393044498,6.377752215,2.61496383
flgB,7.135268272,5.189187154,7.399399397,7.081263443,4.872563114,8.730566533,8.752865705,8.583772394,5.376325378,5.061464517,3.723333091,4.120294759,7.945439465,10.80426377,7.470656273,1.779130699
flgC,5.024902426,3.51584404,6.928206538,6.372495207,3.849473384,7.27838084,6.862574505,6.795769609,3.898469712,2.911788027,1.901716239,2.717665214,5.91167492,8.637704812,5.784593021,0.503222869
flgD,6.850993434,5.226711323,7.488411592,6.726969741,5.084350109,8.172357215,8.264049553,8.157411934,4.870208557,5.002070805,3.553681655,3.394416327,7.407958949,9.964685301,7.072553897,2.215896711
flgE,7.524131516,5.966798693,8.325720413,7.472057377,5.781285295,8.78172739,8.727697056,8.828926095,5.009104323,6.284043391,4.549321867,4.210855568,8.230935051,10.72086191,7.888148719,3.064185456
flgF,6.018412556,4.51155079,6.875417142,5.928541886,4.573504834,7.221054748,7.190364108,7.317791304,4.092260439,4.426565197,3.4449354,3.316835292,7.463113936,9.197436369,6.090548049,1.359049526
flgH,3.986947858,3.642871106,5.345194614,4.17920441,2.523525818,6.016745187,5.425776137,5.275364872,2.672200108,3.125680872,2.060440936,1.234803378,4.825140356,7.974691022,4.308552483,0.931693554
flgI,4.735785012,4.035736239,5.734068824,4.898688017,3.950977234,6.190935785,5.535057654,5.985459202,3.452838415,2.885175005,2.37586721,1.728866141,5.392863886,7.362054982,4.284851039,1.231461024
flgJ,3.109653845,2.050176452,4.181458271,2.952595688,2.177782173,4.565791884,4.250733456,4.585404105,1.838847711,1.904055191,1.193268587,1.003129638,4.445612289,5.785311758,2.974237987,0.780546087
flgL,7.080446428,3.474010318,7.81250281,6.605219279,6.404635355,7.323788889,7.891561911,7.796254805,5.017305545,4.888793291,3.447583932,3.981881322,7.261253263,9.903990631,6.597077984,3.646809711
flgM,7.067506627,5.555056694,7.694846247,6.271668216,5.9534978,7.55532423,8.567099806,7.600595288,4.524848297,4.173187698,4.310983817,5.004830051,7.090070637,9.685933019,7.088018081,4.143536992
flgN,7.289165777,5.511224583,8.732465194,6.986572154,6.495644523,7.824883389,8.900949852,7.396707975,4.088462148,3.967550432,4.387754062,4.677337184,6.834700271,10.10475188,7.078931347,4.148406319
flhA,3.500123037,2.156057842,3.730260504,3.437105596,2.117418465,4.946832,4.331370125,4.729208279,2.495432878,1.960424317,1.685011844,1.839448655,3.393194021,6.677334567,4.246368254,2.195432175
flhB,2.202858823,1.979489035,4.133271775,2.989465597,2.518141008,4.505248799,3.332586403,3.637027454,1.704809142,1.601604004,0.62009198,0.317037999,2.285050141,6.033644299,3.383816536,0.634212857
flhD,7.404340607,7.150561656,8.702045196,9.20755355,7.77805893,7.746915094,6.938998026,7.721975171,7.327130313,7.232617219,10.06743488,4.245605734,6.847100145,8.563588223,6.6933751,6.10559131
flhE,2.817918265,1.656027719,2.916721018,2.145029245,0.82213438,4.48695894,4.135648532,3.561496094,1.753383402,2.128862497,0.693169204,0.781191486,3.898104579,5.183495141,3.25782628,0
fliA,5.847520449,4.543038008,7.040926683,6.144727234,4.746393361,7.0624151,7.115787198,6.88344087,4.057605279,3.634550332,1.747090794,2.048817389,5.894801105,9.207511625,5.457224896,1.611536443
fliE,4.574257782,2.563796078,5.361924714,4.920171545,2.658400903,5.575961078,5.747207386,5.417255477,3.208376988,2.880074496,2.885667655,1.586072869,4.682878005,7.82692691,3.58466812,1.051896484
fliF,4.305829923,2.092448247,5.046690751,4.441855207,2.724117325,5.46951859,5.258435897,5.889860108,2.509806649,2.697570713,2.075416861,1.872355155,4.512308943,7.367787304,4.156145033,0.938865646
fliG,4.067232158,2.038217121,5.347484473,4.703981955,3.459490606,5.785466767,5.951165824,5.850849967,2.219174094,3.007579944,1.77984078,2.058767835,5.052066433,7.714434508,4.764364656,1.313884058
fliH,3.53487801,2.566334972,4.615189233,3.480112654,1.576119562,5.561747014,4.651288305,5.175339473,1.746702644,1.969756431,2.388001655,1.402826984,4.008229226,6.659583709,4.265342486,0.692049602
fliJ,3.1312833,1.112210907,4.201343851,3.152370408,1.657206556,5.009719782,4.667398069,4.821977299,2.215768107,2.251339599,1.899135219,0.710184647,4.033101355,6.590489745,3.510144275,0.56192767
fliK,4.380461294,2.458775846,5.322284702,4.556976123,2.992245442,5.480946856,5.454097257,5.580277862,2.568690502,3.253523772,2.81093387,2.212417394,4.948226558,7.360788012,4.848963758,0.910603689
fliM,5.403623716,2.939669708,6.054055182,5.398155357,3.701904335,6.904721829,6.530566806,6.709191517,3.908479328,3.403504932,2.862238249,2.137695438,5.937900062,8.538266366,5.544984342,1.53285985
fliO,3.574396553,2.177404752,4.986242793,3.556978978,3.074178699,5.220759593,5.204468386,5.286508886,2.616295137,1.902148786,1.578700097,0,4.784350344,7.412565241,3.921213767,0.547796138
fliP,2.953343293,2.149621701,5.021975146,3.901672796,2.289185728,5.269074299,4.080373279,4.549087771,2.327981909,0.912132271,2.690481014,0.467427931,4.070792233,6.629873943,3.608048442,0.938242094
fliR,1.780711473,1.386042263,3.43655078,2.776229657,1.545992747,4.853028565,3.39372302,3.300752829,1.347312919,0,1.793823243,0,2.668735405,4.667952193,2.353270314,0.706048467
fliS,5.981691018,4.682967084,7.44397272,6.866036431,6.217974823,6.06695809,6.677086983,7.388809054,2.746814023,1.947809972,1.925524556,1.341767777,5.812031808,9.07841719,5.00547414,2.202057418
fliT,5.25180551,3.698166224,7.888608408,5.571576943,5.301469726,6.113273005,5.781398003,6.441607411,2.93229354,2.278079706,2.108248949,0.825018172,5.361463934,7.91069867,4.110372606,0.657854217
flk,4.779571977,5.134600147,5.503344814,5.593044944,5.574972361,5.512423872,4.429511388,5.038455946,5.551715208,5.151373135,5.620318915,4.182419594,4.610074693,5.566901419,5.16916949,5.091474524
fmt,7.482120839,8.223508166,8.7018983,8.486217433,8.417135841,8.45896938,7.477285758,7.667335806,8.46096872,7.242606072,8.256737995,7.513385253,7.565393165,7.388153499,7.410027584,7.541478359
fnr,9.177772635,9.280663413,9.606809491,9.744859558,9.383362505,9.501237053,8.44179856,8.9544393,9.688774606,8.89631303,9.68916706,0,8.692345407,8.685545766,8.56453282,8.752221918
folA,6.751888031,6.995653135,6.94424787,6.582767548,6.948049154,6.994745675,6.038424642,6.477356173,7.517642843,6.609837133,6.665242284,5.650051537,6.145211717,6.003167223,5.951188386,5.772616747
folB,5.240338667,5.188998355,5.675541116,5.94861923,5.440574763,5.535627774,4.604401796,4.311820643,5.800062153,4.7194069,5.930929983,3.808368263,4.809082239,4.278480414,4.252032743,4.614387468
