Gene,41_1Ti9,E101,E1167,HS,H120,TA054,TA249,TA280,TA447,M114,E1114,MG1655,ROAR8,JJ1886,UTI89,S88
yfcL,6.149713963,6.498281647,5.940514315,6.028764342,5.972879864,6.763342052,6.592469524,5.560508972,6.892502316,5.462596026,5.887873428,5.49451519,5.939846869,6.197640399,7.042773044,6.136782303
yfcZ,9.973999488,9.282019938,9.39225319,9.559855825,9.734187846,9.146051895,10.23293219,9.807203009,9.7655849,9.817893637,8.816842058,9.418943942,9.496917385,10.4076638,10.86311293,11.07831701
yfdE,1.290033121,1.982305281,1.397212639,1.800769628,2.249595283,2.29602063,0.743229664,1.739983544,1.556842321,1.29703714,2.746601195,0.578047187,1.025539389,1.481509404,0.746614031,0.899958721
yfdV,1.06727624,0.628396595,1.16247377,1.110110346,0.969525213,1.234909047,0.358962852,0.930304721,0,0.950255428,2.309179133,0.675952088,0.75335314,1.169909945,0.315178665,0.740946699
yfdX,2.200984307,0.738011412,1.510359344,1.938693649,1.811131259,2.472959587,1.150612139,1.783753156,2.612062098,1.730962306,2.787827747,2.160592773,0.929698786,1.651037194,1.813095354,2.155479614
yfdY,7.506177925,5.986009489,5.532028103,5.525364371,6.262441908,6.042771013,7.071310786,7.426885594,6.520721171,6.863645683,6.506844036,7.463335608,7.904244213,7.323727647,8.567327069,8.319587915
yfeC,5.737044325,5.71894473,6.650695863,6.046206583,6.39267399,5.897981408,6.289670534,5.847086135,5.780054544,5.937940687,5.967466604,6.965066559,5.209436881,5.84800941,6.32559367,6.830023605
yfeD,5.768929674,6.169992795,6.13362707,5.922039164,5.896152892,6.875679781,5.711951386,5.411898546,6.14568671,5.133150675,6.156776674,6.605958518,5.633953524,6.580507273,6.823583858,7.003660396
yfeH,5.573848317,5.622867851,5.166303705,4.945374532,5.207656012,5.508180132,5.303107403,4.871442259,5.676012541,5.271445181,5.374827517,5.709156598,5.340032061,6.309782424,6.075098831,6.254590511
yfeK,1.910960208,2.99810366,4.821465659,2.802991688,4.20907176,3.75706237,1.433052907,2.547333169,4.031368864,3.779542233,5.290568765,1.70448244,1.770816603,2.715160509,2.598165027,2.868570107
yfeO,3.543792014,3.820849796,2.945489694,2.896406832,3.00717521,3.97929139,3.774028251,2.708535248,3.014779856,2.914770593,4.31880987,4.027158538,2.533927957,0.976623213,3.518912324,3.755565755
yfeR,3.501718257,3.688498403,3.65702194,3.650987405,3.526703858,3.610420064,3.459110875,3.460747138,3.520520272,3.960837105,4.940473798,3.248680073,3.220737488,3.400108787,3.827012176,3.632862588
yfeX,8.027661928,7.430073769,7.709322199,6.891933085,7.784245377,7.273725789,8.36346151,7.754336366,7.730881385,7.33999313,7.638543169,7.470348633,8.021356929,8.069378017,8.329407206,8.582164334
yfeY,6.245773096,7.827317085,6.686200333,6.718617481,6.341897475,7.353082302,5.830297932,6.234281699,5.802018384,6.939818781,8.87730765,6.389807832,6.436487289,6.479228339,5.925754863,6.073298884
yfeZ,4.08540819,4.8621427,5.310081528,4.092418461,5.034133641,5.744614311,4.362995673,4.314861997,5.172634422,4.830971276,5.721451159,4.097492323,3.560699447,3.705359319,3.430570769,3.916162809
yffB,8.161495062,8.36506113,8.06234249,7.79653488,8.669358728,8.08181225,7.364300907,7.579838474,8.000095862,7.811761371,8.69989877,8.352685493,7.719938861,9.021391846,8.870689399,8.563672382
yfgD,4.608892922,5.883382597,5.516024207,5.362688605,6.071147019,5.520950679,5.18577111,5.864920165,5.867646764,5.50348339,6.496346322,6.583955384,4.685257499,5.84800941,5.741656816,6.338912761
yfgG,9.46813985,9.616699061,8.660953785,9.040912894,9.261844411,9.144310106,9.631694851,9.243195004,9.613954165,10.10614236,9.883861287,9.274580137,9.656177567,10.40306404,10.30598312,9.998585259
yfgH,2.235905875,2.940497359,2.158527839,2.268856384,2.348973651,2.453322398,1.512676156,1.847530596,2.881647811,3.200554757,2.83398307,1.152079753,2.431702438,2.749105783,2.206339102,2.752113883
yfgI,2.738350718,1.743598867,2.159482468,2.449084063,1.924000466,2.417652397,2.586337241,2.143148976,2.699418558,3.621586592,3.079899884,1.853884752,3.603295453,2.995266013,2.791138625,2.428263425
yfgM,7.692144611,8.134328313,7.908335527,7.86216582,7.712065513,8.040274622,7.367744503,7.862809184,8.066869725,7.922630536,7.816715379,7.097669269,8.150152033,7.279477038,7.192574965,7.321620984
