Gene deletion	alpha_max (min-1)	Odmax	ECKnb
atoS	0.009887140977925	0.666077744046961	ECK2212
acnA	0.009891426435303	0.679742144913926	ECK1271
nuoK	0.009566350240316	0.571251316023164	ECK2273
nuoA	0.009645500026097	0.590484400922834	ECK2282
yhfW	0.010017904704707	0.667013163477381	ECK3367
pflC	0.009258570973772	0.65729747726684	ECK3943
frdC	0.009592443028457	0.6332958651088	ECK4148
citA	0.009362349842631	0.629014288295492	ECK0612
phoP	0.009710480109499	0.651495817612482	ECK1116
cheA	0.009862244433632	0.676026766802499	ECK1889
atoC	0.01007503792861	0.632869259958454	ECK2213
pflA	0.009496346096079	0.694931958488543	ECK0893
zwf	0.009492765555419	0.641250569647209	ECK1853
nuoJ	0.010016675526721	0.581826382584483	ECK2274
glk	0.009704379618389	0.617543167031176	ECK2384
rpe	0.008859748809579	0.655111639088019	ECK3373
ppc	0.010079486479552	0.628875610247215	ECK3947
frdB	0.009746954325296	0.644472185419639	ECK4149
citB	0.010250427515677	0.670866728259127	ECK0613
narL	0.009842533520041	0.616204376157163	ECK1215
uvrY	0.010512123001621	0.626595351669791	ECK1913
evgA	0.009609976473371	0.621270540925499	ECK2365
pflB	0.009993040799004	0.655495872177452	ECK0894
pykA	0.009919073436889	0.63709549484774	ECK1855
nuoI	0.009743806321381	0.588781837977078	ECK2275
maeB	0.010279418616486	0.64335415872454	ECK2458
pck	0.01006071711048	0.62775346567212	ECK3390
aceB	0.01012984609456	0.654202607414351	ECK4006
frdA	0.010084529475562	0.63473899419712	ECK4150
narX	0.010751113218119	0.644372443795579	ECK1216
yedV	0.009818578557368	0.622316356261392	ECK1964
evgS	0.010037524804583	0.649863669947044	ECK2366
gnd	0.008910915591594	0.609977641552274	ECK2024
nuoH	0.009650293643845	0.562197474297409	ECK2276
talA	0.009867650102101	0.679733307490789	ECK2459
gpmM	0.009928557770975	0.662670609372367	ECK3602
aceA	0.010919527342562	0.640381854698984	ECK4007
deoB	0.009943518276265	0.646798451478189	ECK4375
kdpD	0.010583757015574	0.570120825706621	ECK0683
rssB	0.010552447488836	0.585051247323969	ECK1230
narQ	0.009880717622461	0.618029221672736	ECK2464
cbdA	0.009854349927929	0.643318062949786	ECK0969
fumC	0.010021412129948	0.64498354280578	ECK1606
mqo	0.009376188814132	0.621203942906502	ECK2202
nuoG	0.009711037137654	0.578503940433293	ECK2277
tktB	0.009720313324169	0.659424249059977	ECK2460
pfkA	0.009834014210638	0.670969131975178	ECK3908
pgi	0.009889367344445	0.652260603928547	ECK4017
ytjC	0.00988240964137	0.626458942834179	ECK4387
dps	0.010139111232768	0.57511930005853	ECK0801
rstA	0.009647413954646	0.642792100728713	ECK1603
baeS	0.00983598422659	0.656146416271333	ECK2074
glrR	0.009105426140363	0.627120532275795	ECK2551
cbdB	0.010110225775453	0.684001991953878	ECK0970
fumA	0.009780147247173	0.651744349184707	ECK1607
nuoN	0.009681180525515	0.56163107334909	ECK2270
nuoF	0.009039864616917	0.558643260600288	ECK2278
cusB	0.009579988559975	0.586988445410298	ECK0566
tpiA	0.009838460231698	0.65569221600468	ECK3911
rpiB	0.009912834957255	0.653669828495416	ECK4083
phoB	0.009578267431015	0.642934291509588	ECK0393
rstB	0.010102627491624	0.569623865475254	ECK1604
narP	0.00977428760264	0.651192126435073	ECK2185
icd	0.009184687508768	0.702288710401989	ECK1122
pykF	0.009528602516708	0.580709333072477	ECK1672
nuoM	0.009464588220931	0.587667642468598	ECK2271
nuoE	0.009580767384337	0.614500358016894	ECK2279
glcB	0.008918073980588	0.634673640506593	ECK2970
fsaB	0.009705194709564	0.644034873128441	ECK3938
fumB	0.009725400069918	0.640567570624885	ECK4115
phoR	0.009021070866433	0.630599886077658	ECK0394
torR	0.010877496095142	0.657704252133027	ECK0986
cheY	0.00871224222086	0.603070596498078	ECK1883
rcsB	0.00992714138557	0.63245235452122	ECK2210
barA	0.009952482645844	0.550915203917014	ECK2780
uhpA	0.009812948885988	0.665223112901472	ECK3660
basR	0.008738797170898	0.667158133694523	ECK4106
treA	0.010039137072127	0.663984655832364	ECK1185
poxB	0.009669155423044	0.687436065296824	ECK0862
tktA	0.008361353016327	0.60525445416052	ECK2930
tsx	0.009511238358715	0.629981973909058	ECK0405
aer	0.00965368295146	0.639900966221933	ECK3062
cusR	0.009761768386515	0.623193636935838	ECK0563
qseB	0.010055643944069	0.592775230330947	ECK3016
glnG	0.010487600372111	0.650670533958198	ECK3861
dcuR	0.009550256270803	0.630209010460553	ECK4117
cpsB	0.009798518786184	0.62141546758897	ECK2043
ldhA	0.008564747128693	0.633216738716531	ECK1377
yehB	0.009851318750878	0.606303802519973	ECK2102
tap	0.010003355685121	0.560887843585783	ECK1886
ykfA	0.008898214238396	0.674459937167715	ECK0255
envZ	0.008905447219593	0.592264322791136	ECK3391
yfgM	0.009634209487301	0.638661164312732	ECK2509
qseC	0.01002679022607	0.633485925256843	ECK3017
glnL	0.010058151419114	0.604814120263205	ECK3862
dcuS	0.010349101794729	0.643005296537842	ECK4118
rbsB	0.010269639987337	0.659097486686997	ECK3745
dld	0.009753084390982	0.637954090770825	ECK2126
yfdF	0.010151398965178	0.626238454473976	ECK2339
wcaA	0.010049367663974	0.639081665808817	ECK2053
glgC	0.010020540460115	0.579392949252706	ECK3416
rpoN	0.009803926248169	0.612049877826352	ECK3191
cpxA	0.010528484779284	0.643512990369091	ECK3904
creB	0.010126553184019	0.611340506292062	ECK4390
oppA	0.010144165972894	0.624101205403585	ECK1237
lldD	0.010308601255066	0.670636477230891	ECK3595
helD	0.010158061265195	0.530237450128044	ECK0953
ppk	0.010448813032814	0.720358106953952	ECK2497
arcB	0.010365028616154	0.622475790833846	ECK3200
cpxR	0.010491666807751	0.54718656988583	ECK3905
creC	0.009517586075223	0.623937323469821	ECK4391
yhaK	0.00952119909797	0.586830811199313	ECK3097
cusA	0.009945088544996	0.610295667449556	ECK0567
hrpA	0.009871748431435	0.639358938920113	ECK1406
yahL	0.009734920051953	0.629446635952661	ECK0324
ackA	0.009819182501588	0.635054203946228	ECK2290
yfiN	0.009552714095154	0.628843302121439	ECK2601
ompR	0.009585225660782	0.616337781529295	ECK3392
zraS	0.010146199156024	0.604185110302163	ECK3995
arcA	0.010721725536556	0.618151870256469	ECK4393
rnt	0.009674251103668	0.616606546367526	ECK1648
gltA	0.010746845831249	0.445393031810073	ECK0709
mipA	0.009402747509261	0.546588894938739	ECK1780
gspA	0.010099684749399	0.625959487742686	ECK3310
moaA	0.00909437429272	0.6348567903269	ECK0770
aceE	0.00930556390742	0.648079942801088	ECK0113
yfdV	0.010167539828472	0.642598099013875	ECK2368
rpoZ	0.01018348316303	0.622655767226341	ECK3639
zraR	0.01036090108094	0.656991035714631	ECK3996
glgS	0.010158724378585	0.65395384408293	ECK3038
cydB	0.009641696013981	0.639125154885202	ECK0722
fhuA	0.009859306269071	0.675575219276268	ECK0149
hofQ	0.009386659466639	0.634360889346357	ECK3378
speE	0.00850769492958	0.593543071660466	ECK0120
lpd	0.009140330650631	0.643926844884751	ECK0115
ypdI	0.009843786319683	0.675196898978024	ECK2372
hha	0.008842482219143	0.653311596837139	ECK0454
uhpB	0.009492392745977	0.663036645976585	ECK3659
basS	0.008981140524703	0.618925367640579	ECK4105
pta	0.009258555674923	0.645073723861141	ECK2291
pstB	0.009592741751947	0.64749094522248	ECK3718
yhiI	0.00931196780921	0.644225157537971	ECK3472
fbp	0.009673597439674	0.66287006418956	ECK4227
murQ	0.00982844541282	0.634578175215722	ECK2423
rsd	0.009751796104861	0.644611672784068	ECK3987
cirA	0.009961095580263	0.640691474950757	ECK2148
ybhC	0.009650276276744	0.630637031415597	ECK0761
wza	0.009748517542257	0.648136259523195	ECK2056
ybhD	0.009072872469316	0.660058224749704	ECK0757
ynfL	0.00982238735516	0.658638409525454	ECK1590
ppdD	0.009502021226261	0.640935539034345	ECK0107
tesA	0.00985278279769	0.612364748100065	ECK0488
pepT	0.009303806147065	0.606860315187591	ECK1113
fecI	0.010185272555842	0.6724498644917	ECK4283
pgaA	0.009729414418488	0.624466775658168	ECK1014
fhuE	0.009845868239614	0.643604065261679	ECK1088
fiu	0.009788804240122	0.66772488162975	ECK0794
yraJ	0.009810971701533	0.641092491698754	ECK3132
dbpA	0.010061225422947	0.631806966038476	ECK1340
mrcB	0.008661347975968	0.614280795776707	ECK0148
