Original_Name,Prom,ORF,Prom_ORF,Cel,Replicate,Name
rpoS_rpoS_67b.CEL,rpoS,rpoS,rpoS_rpoS,67b.CEL,rep2,rpoS_rpoS_rep2
rpoS_rpoS_67c.CEL,rpoS,rpoS,rpoS_rpoS,67c.CEL,rep3,rpoS_rpoS_rep3
rpoS_rpoE_69a.CEL,rpoS,rpoE,rpoS_rpoE,69a.CEL,rep1,rpoS_rpoE_rep1
rpoS_rpoE_69b.CEL,rpoS,rpoE,rpoS_rpoE,69b.CEL,rep2,rpoS_rpoE_rep2
rpoS_rpoE_69c.CEL,rpoS,rpoE,rpoS_rpoE,69c.CEL,rep3,rpoS_rpoE_rep3
lrp_crp_6a.CEL,lrp,crp,lrp_crp,6a.CEL,rep1,lrp_crp_rep1
lrp_crp_6b.CEL,lrp,crp,lrp_crp,6b.CEL,rep2,lrp_crp_rep2
lrp_crp_6c.CEL,lrp,crp,lrp_crp,6c.CEL,rep3,lrp_crp_rep3
rpoS_rpoN_76a.CEL,rpoS,rpoN,rpoS_rpoN,76a.CEL,rep1,rpoS_rpoN_rep1
rpoS_rpoN_76b.CEL,rpoS,rpoN,rpoS_rpoN,76b.CEL,rep2,rpoS_rpoN_rep2
rpoS_rpoN_76c.CEL,rpoS,rpoN,rpoS_rpoN,76c.CEL,rep3,rpoS_rpoN_rep3
lrp_araC_7a.CEL,lrp,araC,lrp_araC,7a.CEL,rep1,lrp_araC_rep1
lrp_araC_7b.CEL,lrp,araC,lrp_araC,7b.CEL,rep2,lrp_araC_rep2
lrp_araC_7c.CEL,lrp,araC,lrp_araC,7c.CEL,rep3,lrp_araC_rep3
rpoE_0_8a.CEL,rpoE,0,rpoE_0,8a.CEL,rep1,rpoE_0_rep1
rpoE_0_8b.CEL,rpoE,0,rpoE_0,8b.CEL,rep2,rpoE_0_rep2
rpoE_0_8c.CEL,rpoE,0,rpoE_0,8c.CEL,rep3,rpoE_0_rep3
rpoE_fis_9a.CEL,rpoE,fis,rpoE_fis,9a.CEL,rep1,rpoE_fis_rep1
rpoE_fis_9b.CEL,rpoE,fis,rpoE_fis,9b.CEL,rep2,rpoE_fis_rep2
rpoE_fis_9c.CEL,rpoE,fis,rpoE_fis,9c.CEL,rep3,rpoE_fis_rep3
