regulator_protein_eccid,regulator_genes_eccid,regulator_ids,names,regulation,targets_inhibition_eccid,targets_activation_eccid,protein,regulator,category
MONOMER0-183,EG10301,b2731,fhlA,EG10301@EG10483@EG10484@EG10485@EG10486@EG10487@G7414@EG10481@EG10480@EG10479@EG10478@EG10477@EG10476@EG10475@EG10474@EG10285@EG11551@EG11552@G7309@G7308@G7307@G7306@G7305@G7304@G7303@G7302@G7301@G7300@EG11282@EG11150,,EG10301@EG10483@EG10484@EG10485@EG10486@EG10487@G7414@EG10481@EG10480@EG10479@EG10478@EG10477@EG10476@EG10475@EG10474@EG10285@EG11551@EG11552@G7309@G7308@G7307@G7306@G7305@G7304@G7303@G7302@G7301@G7300@EG11282@EG11150,FhlA-formate DNA-binding transcriptional activator,FhlA,TF
CPLX0-7705,EG10317,b3261,fis,EG10828@EG10242@EG10235@EG10166@EG10420@EG10421@EG10407@G6983@G6982@EG10668@EG11415@EG10182@EG10181@EG10180@EG10179@EG10178@EG11158@EG30099@EG12194@EG12193@EG10908@EG10874@EG11018@G7596@EG10046@EG30069@EG30037@EG10389@EG10385@EG10387@EG10383@G7546@EG30065@EG10572@EG11249@EG10571@EG30075@EG30082@EG30035@EG30089@EG11784@EG30110@EG30113@EG30114@EG30056@EG30012@EG30011@EG30016@EG12093@EG11773@EG12092@EG12091@EG12090@EG12089@EG12088@EG12087@EG11774@EG12086@EG12084@EG12083@EG12082@EG10391@EG10392@EG10393@EG10399@EG10401@EG12360@EG10660@EG10661@EG10423@EG30067@EG10594@EG10592@EG10044@EG10509@G6833@G6825@EG11435@EG11434@EG11599@G6786@EG11490@EG11508@EG11013@EG10031@EG10457@EG11016@EG30108@EG30106@EG30097@EG10638@EG10639@EG10641@EG10640@G6619@EG10649@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473@EG10807@EG10701@EG10232@EG10233@EG10234@EG30014@EG30076@EG30083@EG30010@EG30045@EG30090@EG10743@EG10914@EG11177@EG11178@EG10505@EG10665@EG11179@EG30061@G7675@G7676@G7677@G436@EG10637@EG11311@EG10317@EG30091@EG30103@EG30073@EG30080@EG30009@EG30044@EG30087@EG10164@EG10653@EG10655@EG10654@EG10188@EG12243@EG50009@EG30066@EG20252@EG12275@EG12276@EG20253@EG12292@EG10615@EG10616@EG11965@EG10424@EG10114@EG10115@EG10116@EG30072@EG30079@EG30033@EG30086@EG30017@EG30042@EG30049@EG30068@EG10278@EG10279@EG30070@EG30077@EG30008@EG30043@EG30084@EG11022@EG30071@EG30078@EG30032@EG30085@EG11037@EG30102@EG30107@EG30036@EG30101@EG10466@EG30074@EG30081@EG30034@EG30088@G0-17082@EG10556@EG10555@EG10554@EG11942@EG11943@EG11448@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@EG11612@EG10357@EG30064@EG11433@EG30053@EG30051@EG30047@EG30048@EG11391@EG30104@EG10787@EG30031@EG30029@EG30059@EG30030@EG30028@EG30052@EG30058@EG10467@EG10812@EG30025@EG12316@EG10543@EG10134@EG10135@EG10048@EG10047@EG10523@EG10691@EG30055@EG30109@EG30057@EG30093@G0-17088@EG10642@EG10221@EG10219@EG10220@EG10222,EG10828@EG10242@EG10235@EG10420@EG10421@EG10407@G6983@G6982@EG10668@EG11415@EG11158@EG30099@EG12194@EG12193@EG10908@EG10874@EG10046@EG30069@EG10389@G7546@EG10423@EG10594@EG10592@EG10044@EG10509@G6825@G6786@EG11490@EG11013@EG10638@EG10639@EG10641@EG10640@G6619@EG10649@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473@EG10807@EG10701@EG10232@EG10233@EG10234@G7675@G7676@G7677@G436@EG10637@EG11311@EG10317@EG10164@EG10653@EG10655@EG10654@EG10188@EG12243@EG50009@EG20252@EG12275@EG12276@EG20253@EG12292@EG10615@EG10616@EG11965@EG10424@EG10114@EG10115@EG10116@EG11942@EG11943@EG11448@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@EG10357@EG11433@EG11391@EG10787@EG10467@EG12316@G0-17088@EG10642,EG10166@EG10182@EG10181@EG10180@EG10179@EG10178@EG11158@EG30099@EG11018@EG30069@EG30037@EG10385@EG10387@EG10383@EG30065@EG10572@EG11249@EG10571@EG30075@EG30082@EG30035@EG30089@EG11784@EG30110@EG30113@EG30114@EG30056@EG30012@EG30011@EG30016@EG12093@EG11773@EG12092@EG12091@EG12090@EG12089@EG12088@EG12087@EG11774@EG12086@EG12084@EG12083@EG12082@EG10391@EG10392@EG10393@EG10399@EG10401@EG12360@EG10660@EG10661@EG30067@G6833@EG11435@EG11434@EG11599@EG11508@EG11013@EG10031@EG10457@EG11016@EG30108@EG30106@EG30097@EG10649@EG10787@EG30014@EG30076@EG30083@EG30010@EG30045@EG30090@EG10743@EG10914@EG11177@EG11178@EG10505@EG10665@EG11179@EG30061@EG30091@EG30103@EG30073@EG30080@EG30009@EG30044@EG30087@EG30066@EG30072@EG30079@EG30033@EG30086@EG30017@EG30042@EG30049@EG30068@EG10278@EG10279@EG30070@EG30077@EG30008@EG30043@EG30084@EG11022@EG30071@EG30078@EG30032@EG30085@EG11037@EG30102@EG30107@EG30036@EG30101@EG10466@EG30074@EG30081@EG30034@EG30088@G0-17082@EG10556@EG10555@EG10554@EG11612@EG30064@EG30053@EG30051@EG30047@EG30048@EG30104@EG30031@EG30029@EG30059@EG30030@EG30028@EG30052@EG30058@EG10812@EG30025@EG10543@EG10134@EG10135@EG10048@EG10047@EG10523@EG10691@EG30055@EG30109@EG30057@EG30093@EG10221@EG10219@EG10220@EG10222,DNA-binding transcriptional dual regulator Fis,Fis,TF
CPLX0-3930,EG10320@EG10319,b1892@b1891,flhD@flhC,EG11739@G7027@G370@G7028@G7035@G358@G359@G360@G361@G362@G363@G364@G365@G366@G6562@G369@G357@G0-9383@EG12663@EG12662@EG12661@G6359@G379@G378@G377@EG11656@EG11654@EG11347@EG11346@EG10841@EG11388@EG11389@EG12252@G6623@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@EG10576@EG10594@EG10592@EG10593@G7039@EG11356@EG11355@EG11551@EG11552@EG12052@EG12053@EG12054@EG12055@EG12169@EG12057@EG12058@EG12059@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068@EG10322@EG10323@EG10324@EG11224@EG11975@EG11976@EG11977@EG10391@EG10392@EG10393@EG12081@EG11156@EG11155@EG11154@EG10825@G7418,EG10576@EG10594@EG10592@EG10593,EG11739@G7027@G370@G7028@G7035@G358@G359@G360@G361@G362@G363@G364@G365@G366@G6562@G369@G357@G0-9383@EG12663@EG12662@EG12661@G6359@G379@G378@G377@EG11656@EG11654@EG11347@EG11346@EG10841@EG11388@EG11389@EG12252@G6623@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@G7039@EG11356@EG11355@EG11551@EG11552@EG12052@EG12053@EG12054@EG12055@EG12169@EG12057@EG12058@EG12059@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068@EG10322@EG10323@EG10324@EG11224@EG11975@EG11976@EG11977@EG10391@EG10392@EG10393@EG12081@EG11156@EG11155@EG11154@EG10825@G7418,FlhDC DNA-binding transcriptional dual regulator,FlhDC,TF
EG11356-MONOMER,EG11356,b1921,fliZ,EG11391@G6548@G6547@EG11489@G6543@G6544@G6545@G6546@EG11928@G6786@EG11490@EG10319@EG10320@EG11400@EG11399@EG11398@G0-16680@EG12241@EG12240@EG11544@G6639@EG12008,EG11391@G6548@G6547@EG11489@G6543@G6544@G6545@G6546@EG11928@G6786@EG11490@EG10319@EG10320@EG11400@EG11399@EG11398@G0-16680@EG12241@EG12240@EG11544@G6639@EG12008,,DNA-binding transcriptional regulator FliZ,FliZ,TF
CPLX0-7797,EG10325,b1334,fnr,G6851@EG12295@G7280@G7214@G6822@G6756@EG11058@EG10998@EG10803@EG12394@G7457@EG30060@EG12522@EG10084@EG10957@EG10958@EG11731@EG11730@EG10411@G7072@EG11221@EG10372@EG10096@EG11821@EG12191@EG11411@G6815@G6339@G6340@G6341@G6342@G6343@G6344@G6346@G6345@G8205@EG11241@G7517@G7516@EG11445@EG11444@G7314@G0-10677@EG11645@G6600@G6331@G0-16737@G6643@G6644@EG10561@EG10560@EG10638@EG10639@EG10641@EG10640@G0-17088@EG10642@EG10653@EG10655@EG10654@EG10188@EG10325@EG10333@EG10332@EG10331@EG10330@EG10391@EG10392@EG10393@EG10399@EG10401@EG10511@EG10232@EG10233@EG10234@EG11519@EG12075@EG12076@EG12077@EG12078@EG12079@EG10456@G7309@G7308@G7307@G7306@G7305@G7304@G7303@G7302@G7301@G7300@EG11282@EG11150@EG12052@EG12053@EG12054@EG12055@EG12169@EG12057@EG12058@EG12059@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068@EG10006@EG11325@EG10031@G6619@EG50009@EG30069@EG11175@EG11176@EG10016@EG12760@EG10908@EG10874@EG10301@EG10484@EG10485@EG10486@EG10487@G6660@G6088@EG11565@EG11564@EG11563@EG11562@EG10701@EG11258@EG10403@EG10404@EG11514@EG10154@EG10153@EG10643@EG10646@EG12244@EG10133@EG10953@EG10046@EG12628@EG12627@EG12626@EG12625@EG10248@EG12093@EG11773@EG12092@EG12091@EG12090@EG12089@EG12088@EG12087@EG11774@EG12086@EG12084@EG12083@EG12082@EG12608@EG11557@EG11558@EG11559@EG11560@EG11561@G7624@G7626@G7627@EG11172@EG10991@EG10990@EG10989@EG11810@EG10371@EG11442@EG10285@EG10649@EG10357@EG11225@EG10095@EG10798@EG10799@EG12424@EG10761@EG10427@EG10182@EG10181@EG10180@EG10179@EG10178@EG10933@EG10934@EG10931@EG10932@G0-17009@EG10979@EG10980@EG10981@EG10982@EG10358@EG10356@EG10735@EG10783@EG10782@EG10784@EG10734@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@EG10061@EG10035@EG12358@G6476@G6477@G6478@G6479@EG12031@EG10012@EG11405@EG10880@EG11023@EG11153@EG10915@EG10027@EG10916@EG10887@EG10877@EG10902@EG10882@EG10918@EG10865@EG10883@EG10867@EG10866@EG10909@EG10754@G6456@G6457@EG11272@EG10881@G6849@G6848@G6847@G6846@G6845@EG11369@EG11370@EG12734@G81@G812@EG11417@EG12450@G7413@EG12129@EG11332@G7486@G7487@G7485@EG10174@EG10173@EG13283@G7233@EG12242@EG12243@G7595@EG10151@EG10150@EG10147@EG10148@EG10987@EG10988@G6347@EG11595@EG11596@EG11666@EG11597@EG11598@G0-10437@EG10299@EG10264@EG10297@EG12230@EG11549@G7035@EG12258@EG12259@EG10266@EG10267@G7826@G7827@EG12933@EG12101@EG12102@EG11287@G7804@G7594@G0-16685@G7923@EG12405@EG11124@EG12117@G7866@EG11088@EG10024@EG10025@EG10543@EG11227@EG11228@EG11229@EG11784@G6897@G6898@G6899@G6900@G6901@G6902,EG12394@EG10957@EG10958@EG10411@G7072@EG11221@EG11124@EG10096@EG11821@EG12191@EG11411@G6339@G6340@G6341@G6342@G6343@G6344@G6346@G6345@G8205@EG11241@G0-16737@G6643@G6644@EG10325@EG10456@G7309@G7308@G7307@G7306@G7305@G7304@G7303@G7302@G7301@G7300@EG11282@EG11150@EG11325@EG50009@EG10908@EG10874@G6660@EG10061@EG10403@EG10404@EG11514@EG10154@EG10153@EG10643@EG10646@EG10953@EG12628@EG12627@EG12626@EG12625@EG10248@EG12093@EG11773@EG12092@EG12091@EG12090@EG12089@EG12088@EG12087@EG11774@EG12086@EG12084@EG12083@EG12082@EG10649@EG10798@EG10799@EG12424@EG10761@EG10427@EG10182@EG10181@EG10180@EG10179@EG10178@EG10933@EG10934@EG10931@EG10932@G0-17009@EG10979@EG10980@EG10981@EG10982@EG10358@EG10356@EG10035@EG12031@EG10880@EG11023@EG11153@EG10915@EG11272@EG10881@EG11369@EG11370@EG12450@G7413@EG10174@EG10173@EG12242@EG12243@EG11287@G7804@EG12405@EG12117@G7866@EG11088@EG10024@EG10025@EG10543@EG11227@EG11228@EG11229@EG11784,G6851@EG12295@G7280@G7214@G6822@G6756@EG11058@EG10998@EG10803@G7457@EG30060@EG12522@EG10325@EG10084@EG11731@EG11730@EG10372@EG10096@EG11821@EG12191@EG11411@G6815@G7517@G7516@EG11445@EG11444@G7314@G0-10677@EG11645@G6600@G6331@EG10561@EG10560@EG10638@EG10639@EG10641@EG10640@G0-17088@EG10642@EG10653@EG10655@EG10654@EG10188@EG10333@EG10332@EG10331@EG10330@EG10391@EG10392@EG10393@EG10399@EG10401@EG10511@EG10232@EG10233@EG10234@EG11519@EG12075@EG12076@EG12077@EG12078@EG12079@EG12052@EG12053@EG12054@EG12055@EG12169@EG12057@EG12058@EG12059@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068@EG10006@EG10031@G6619@EG30069@EG11175@EG11176@EG10016@EG12760@EG10174@EG10173@EG10301@EG10484@EG10485@EG10486@EG10487@EG11088@EG10024@EG10025@EG10543@G6088@EG11565@EG11564@EG11563@EG11562@EG10701@EG11258@EG12244@EG10133@EG10046@EG12608@EG11557@EG11558@EG11559@EG11560@EG11561@G7624@G7626@G7627@EG11172@EG10991@EG10990@EG10989@EG11810@EG10371@EG11442@EG10285@EG11227@EG11228@EG11229@EG10357@EG11225@EG10095@EG10735@EG10783@EG10782@EG10784@EG10734@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@EG10061@EG12358@G6476@G6477@G6478@G6479@EG10012@EG11405@EG10027@EG10916@EG10887@EG10877@EG10902@EG10882@EG10918@EG10865@EG10883@EG10867@EG10866@EG10909@EG10754@G6456@G6457@G6849@G6848@G6847@G6846@G6845@EG12734@G81@G812@EG11417@EG12129@EG11332@G7486@G7487@G7485@EG13283@G7233@G7595@EG10151@EG10150@EG10147@EG10148@EG10987@EG10988@G6347@EG11595@EG11596@EG11666@EG11597@EG11598@EG11784@G0-10437@EG10299@EG10264@EG10297@EG12230@EG11549@G7035@EG12258@EG12259@EG10266@EG10267@G7826@G7827@EG12933@EG12101@EG12102@G7594@G0-16685@G7923@EG11124@G6897@G6898@G6899@G6900@G6901@G6902,DNA-binding transcriptional dual regulator FNR,FNR,TF
CPLX0-8576,G7727,b3375,frlR,G7727@G7726@G7724@G7723@EG12908,G7727@G7726@G7724@G7723@EG12908,,DNA-binding transcriptional repressor FrlR,FrlR,TF
CPLX0-8234,G6209,b0357,frmR,G6209@EG50010@G6208,G6209@EG50010@G6208,,DNA-binding transcriptional repressor FrmR,FrmR,TF
CPLX0-7650,EG10353,b2805,fucR,EG10352@EG10349@EG10350@EG10355@EG10353@EG10351@EG10348,,EG10352@EG10349@EG10350@EG10355@EG10353@EG10351@EG10348,FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator,FucR,TF
CPLX0-7639,EG10359,b0683,fur,G7949@EG10302@EG10304@EG10305@EG10303@EG10290@EG10289@EG10288@EG10287@EG10286@EG10262@EG10293@EG12933@EG12101@EG12102@G6905@G6906@G6907@G6908@G6909@EG11378@G0-10737@EG11124@EG10957@EG10958@EG10403@EG10404@EG11514@G7593@EG11784@EG10411@G7072@EG11221@EG10372@EG10358@EG10325@EG11821@EG12191@EG10649@EG10096@EG11411@EG10543@G6999@EG10806@EG30069@EG11175@EG11176@EG10016@EG12760@G0-10474@EG11359@EG12173@G7711@G7710@G7709@G7708@G7707@G7706@G7705@G7704@G7703@G7702@EG10674@EG10675@EG10676@EG10677@EG10678@EG10511@EG10510@EG10509@EG10921@G7139@G7138@EG10587@EG10671@EG10155@EG10294@EG10295@EG10298@EG10296@EG10261@EG10263@EG10260@EG10259@EG11105@EG10359@EG10953@EG10319@EG10320@EG10800@EG11012@EG10292@EG10291@EG10357@EG10182@EG10181@EG10180@EG10179@EG10178@G0-17009@EG10933@EG10934@EG10931@EG10932@EG10979@EG10980@EG10981@EG10982@G7758@G6820@G6821@EG11634@G7254@EG11699@G0-8872@EG12201@EG10306@EG10588@G6414@EG10271@EG10272@G7401@G7402@EG12381@EG20257@G0-10437@EG10299@EG10264@EG10297@G7061@EG11104@EG10456,G7949@EG10302@EG10304@EG10305@EG10303@EG10290@EG10289@EG10288@EG10287@EG10286@EG10262@EG10293@EG12933@EG12101@EG12102@G6905@G6906@G6907@G6908@G6909@EG11378@EG10957@EG10958@EG10403@EG10404@EG11514@G7593@EG11784@EG10411@G7072@EG11221@EG10372@EG10358@EG10325@EG11821@EG12191@EG10649@EG10096@EG11411@EG10543@EG10806@EG30069@EG11175@EG11176@EG10016@EG12760@G0-10474@EG11359@EG12173@G7711@G7710@G7709@G7708@G7707@G7706@G7705@G7704@G7703@G7702@EG10674@EG10675@EG10676@EG10677@EG10678@EG10510@G7139@G7138@EG10587@EG10155@EG10294@EG10295@EG10298@EG10296@EG10261@EG10263@EG10260@EG10259@EG11105@EG10359@EG10953@EG10319@EG10320@EG10800@EG11012@EG10292@EG10291@EG10182@EG10181@EG10180@EG10179@EG10178@G7758@G6820@G6821@EG11634@G7254@EG11699@G0-8872@EG12201@EG10306@EG10588@G6414@EG10271@EG10272@G7401@G7402@EG12381@EG20257@G0-10437@EG10299@EG10264@EG10297@EG11104@EG10456,G0-10737@EG11124@EG10372@EG11821@EG12191@EG10543@G6999@EG10511@EG10509@EG10921@EG10671@EG11012@EG10357@G0-17009@EG10933@EG10934@EG10931@EG10932@EG10979@EG10980@EG10981@EG10982@EG11104@G7061,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,Fur,TF
EG11544-MONOMER,EG11544,b3512,gadE,EG11936@EG11935@EG12228@EG11400@EG11399@EG11398@G0-17102@EG10321@EG12242@EG12243@EG10545@EG11284@EG10316@EG10455@EG10790@EG11495@EG10411@G0-16680@EG12241@EG12240@EG11544@EG10182@EG10181@EG10180@EG10179@EG10178@EG10820@EG10403@EG10404@EG11514@EG10547@G6786@EG11490,,EG11936@EG11935@EG11400@EG11399@EG11398@G0-17102@EG10321@EG12242@EG10545@EG11284@EG10316@EG10455@EG10790@EG11495@EG10411@G0-16680@EG12241@EG12240@EG11544@EG10182@EG10181@EG10180@EG10179@EG10178@EG10820@EG10403@EG10404@EG11514@EG10547@G6786@EG11490@EG12228@EG10090@EG11889@EG11890@EG10131@EG10132@EG12462@EG12243@EG50009,DNA-binding transcriptional activator GadE,GadE,TF
CPLX0-7852,EG10821@EG11544,b2217@b3512,rcsB@gadE,EG12228@EG10090@EG11889@EG11890@EG10131@EG10132@EG12462@EG12243@EG50009,EG12243@EG50009@EG10319@EG10320@G6543@G6544@G6545@G6546@,G0-16690@G7347@G7348@EG12341@EG11897@G0-8863@G6789@G6790@G6786@EG11490@EG10680@EG11508@G6776@G0-8914@EG11495@EG11400@EG11399@EG11398@EG12690@G6465@EG10679@G6791@EG10347@EG10339@G6956@G6730@G6729@G6728@G6727@G6231@EG11707@G7577@G7566@G7026@EG10656@EG11992@EG10531@EG10114@EG10115@EG10116@EG12228@EG10090@EG11889@EG11890@EG10131@EG10132@EG12462@EG12243@EG50009@G7103@G7104@G7105@G7106@G7107@EG10820@EG11926@EG11925@EG11924@EG11923@EG11936@EG11935@G0-17102@EG10321@EG12242@EG10545@EG11284@EG10316@EG10455@EG10790@EG10411@G0-16680@EG12241@EG12240@EG11544@EG10182@EG10181@EG10180@EG10179@EG10178@EG10403@EG10404@EG11514@EG10547,GadE-RcsB DNA-binding transcriptional activator,GadE-RcsB,TF
EG12242-MONOMER,EG12242,b3515,gadW,G6786@EG11490@EG11400@EG11399@EG11398@EG11889@EG11890@G0-8914@G0-16680@EG12241@EG12240@EG11544@EG12242@EG12243@EG50009,G6786@EG11490@EG11400@EG11399@EG11398@EG11889@EG11890@G0-8914@EG12242@EG12243@EG50009,G6786@EG11490@EG12243@EG50009@EG11400@EG11399@EG11398@G0-16680@EG12241@EG12240@EG11544,DNA-binding transcriptional dual regulator GadW,GadW,TF
EG12243-MONOMER,EG12243,b3516,gadX,G6877@G6842@G6841@G6787@G6788@EG11204@EG10126@EG11246@EG11889@EG11890@EG12242@G0-8914@G0-16680@EG12241@EG12240@EG11544@G6262@G6261@EG10092@EG11495@EG10131@EG10132@EG10457@EG10510@EG10542@EG12243@EG50009@G6786@EG11490@EG11821@EG12191@EG11400@EG11399@EG11398,G6877@G6842@G6841@G6787@G6788@EG11204@EG10126@EG11400@EG11399@EG11398@EG12242,EG12242@EG11246@EG11889@EG11890@G0-8914@G0-16680@EG12241@EG12240@EG11544@G6262@G6261@EG10092@EG11495@EG10131@EG10132@EG10457@EG10510@EG10542@EG12243@EG50009@G6786@EG11490@EG11821@EG12191@EG11400@EG11399@EG11398,DNA-binding transcriptional dual regulator GadX,GadX,TF
PD03028,EG10364,b2837,galR,EG12148@EG10594@EG10592@EG10593@EG11698@EG10363@EG10366@EG10362@EG10365,EG10594@EG10592@EG10593@EG11698@EG10363@EG10366@EG10362@EG10365@EG12148@EG10364,EG11698@EG10363@EG10366@EG10362,DNA-binding transcriptional dual regulator GalR,GalR,TF
PD00261,EG10365,b2151,galS,EG12148@EG10594@EG10592@EG10593@EG11698@EG10363@EG10366@EG10362@EG10365,EG10594@EG10592@EG10593@EG11698@EG10363@EG10366@EG10362@EG10365@EG12148@EG10364,EG11698@EG10363@EG10366@EG10362,DNA-binding transcriptional dual regulator GalS,GalS,TF
PD00339,EG11795,b2808,gcvA,G0-8867@EG11795@EG11810@EG10371@EG11442,EG11795@EG11810@EG10371@EG11442,G0-8867@EG11810@EG10371@EG11442,DNA-binding transcriptional dual regulator GcvA,GcvA,TF
EG12386-MONOMER,EG12386,b2664,glaR,EG10482@G7245@G6998@G6955@G7947@G7946@G0-9541@EG11839@EG11830@EG11465@G7670@G7574@G7354@EG12880@EG12446@G7235@G7210@G7203@G7188@G7187@G7181@G7180@EG12005@EG11990@G6967@G6818@G6789@G6650@G6633@G6630@G6625@G6614@G6498@G6485@G6484@EG12694@EG11168@EG11883@EG10988@G6806@EG12556@G6790@EG12121@EG10905@EG11827@EG10849@EG12412@EG12424@EG10765@EG11403@EG10758@G6615@EG11734@EG10691@EG11088@G7236@EG10657@EG10620@EG10606@EG10592@G6805@G6094@EG10518@EG11422@EG12152@G7893@EG11972@EG12172@EG11514@EG10372@EG11795@EG12243@EG12242@EG10306@G6482@G0-9981@EG11889@EG10196@EG10194@G7430@EG10133@G6557@G7880@EG11617@EG10084@EG10074@EG10051@G7399@EG12402@EG12403@G7062@G6896@G6629@G6608@G6816@G6741@G6499@G6698@G7382@G7573@G7563@EG12843@EG12720@G7882@G7861@G7842@G7841@EG12442@G7217@EG12328@EG11991@EG11869@EG11753@EG11605@EG11196@EG11330@EG10361@EG11329@EG12387@G7394,EG10482@G6998@G6955@G7947@G0-9541@EG11839@G7670@G7354@EG12880@EG12446@G7203@G7187@G6967@G6650@G6633@G6614@G6498@G6485@G6484@EG12694@EG11168@EG11883@EG10988@G6806@EG12556@EG12121@EG10849@EG12424@EG11403@EG11734@EG10691@G7236@EG10657@EG10606@EG10592@G6094@EG11422@EG12152@EG10372@EG11795@EG12242@EG10306@G6482@G0-9981@EG10196@G7430@EG11617@EG10084@EG10074@EG10051@EG12402@EG12403@G6896@G6629@G6608@G6816@G6741@G6499@G6698@G7382@G7573@G7563@EG12843@G7882@G7861@G7841@EG12442@G7217@EG11991@EG11869@EG11753@EG11330@EG10361@EG11329@EG12387@G7394,G7245@G7946@EG11830@EG11465@G7574@G7235@G7210@G7188@G7181@G7180@EG12005@EG11990@G6818@G6789@G6630@G6625@G6790@EG10905@EG11827@EG12412@EG10765@EG10758@G6615@EG11088@EG10620@G6805@EG10518@G7893@EG11972@EG12172@EG11514@EG12243@EG11889@EG10194@EG10133@G6557@G7880@G7399@G7062@EG12720@G7842@EG12328@EG11605@EG11196,DNA-binding transcriptional repressor GlaR,GlaR,TF
MONOMER0-562,G7546,b2980,glcC,G7542@EG20080@G7543@G0-8601@G7544@G7545@G7546,G7546,G7542@EG20080@G7543@G0-8601@G7544@G7545,GlcC-glycolate DNA-binding transcriptional dual regulator,GlcC,TF
MONOMER0-4147,EG11285,b2554,glrR,G0-16690@G7347@G7348@EG12341@EG11897@G0-8910,,G0-16690@G7347@G7348@EG12341@EG11897@G0-8910,DNA-binding transcriptional activator GlrR-phosphorylated,GlrR,TF
PD03585,EG12630,b3438,gntR,G7891@EG12539@G7892@G7893@EG12152@G7748@G7747@EG10256@EG10257@EG12380@EG12631@EG12629,G7891@EG12539@G7892@G7893@EG12152@G7748@G7747@EG10256@EG10257@EG12380@EG12631@EG12629,,DNA-binding transcriptional repressor GntR,GntR,TF
PD00345,EG10972,b2706,gutM,G8210@EG10969@EG10970@EG10971@EG10972@EG10974@EG10973,,G8210@EG10969@EG10970@EG10971@EG10972@EG10974@EG10973,DNA-binding transcriptional activator GutM,GutM,TF
