regulator_protein_eccid,regulator_genes_eccid,regulator_ids,names,regulation,targets_inhibition_eccid,targets_activation_eccid,protein,regulator,category
MONOMER-48,EG10123,b3973,birA,EG10117@EG10118@EG10121@EG10119@EG10120,EG10117@EG10118@EG10121@EG10119@EG10120,,BirA-biotinyl-5'-adenylate DNA-binding transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase,BirA,TF
G6602-MONOMER,G6602,b1162,bluR,G6607@G6606@G6605@G6604,G6607@G6606@G6605@G6604,,DNA-binding transcriptional repressor BluR,BluR,TF
MONOMER0-4536,EG10125,b0435,bolA,EG10315@G6543@G6544@G6545@G6546@EG11489@EG10203@EG10040@EG10610@EG10609@EG10608,EG10203@EG10040@EG10610@EG10609@EG10608,EG10315@G6543@G6544@G6545@G6546@EG11489@EG10203@EG10040,DNA binding transcriptional dual regulator BolA-phosphorylated,BolA,TF
MONOMER0-4276,EG12006,b2125,btsR,EG12204@G7000@EG10576@EG11088@EG10024@EG10025@EG10543@G7942@G6543@G6544@G6545@G6546@G6548@G6547@EG11489,EG12204@G7000@EG10576@EG11088@EG10024@EG10025@EG10543@G6543@G6544@G6545@G6546@G6548@G6547@EG11489,G7942,Phosphorylated DNA-binding transcriptional dual regulator BtsR,BtsR,TF
PD00436,EG10133,b4133,cadC,EG10131@EG10132@EG10133,,EG10131@EG10132@EG10133,DNA-binding transcriptional activator CadC,CadC,TF
CPLX0-8062,G6088,b0034,caiF,EG11565@EG11564@EG11563@EG11562@EG12608@EG11557@EG11558@EG11559@EG11560@EG11561,,EG11565@EG11564@EG11563@EG11562@EG12608@EG11557@EG11558@EG11559@EG11560@EG11561,CaiF-L-carnitine DNA-binding Transcriptional Activator,CaiF,TF
G7071-MONOMER,G7071,b1987,cbl,EG12358@G6476@G6477@G6478@G6479@EG12423@G6219@G6218@G6217,,EG12358@G6476@G6477@G6478@G6479@EG12423@G6219@G6218@G6217,DNA-binding transcriptional activator Cbl,Cbl,TF
EG12335-MONOMER,EG12335,b0162,cdaR,EG12335@G7445@G7446@G7447@EG12522@EG30069@EG11175@EG11176@EG10016@EG12760,,EG12335@G7445@G7446@G7447@EG12522@EG30069@EG11175@EG11176@EG10016@EG12760,DNA-binding transcriptional activator CdaR,CdaR,TF
EG12406-MONOMER,EG12406,b0796,cecR,EG11235@EG12406@G6412@G6411@G6410@G6409,EG12406@G6412@G6411@G6410@G6409,EG11235,DNA-binding transcriptional dual regulator CecR,CecR,TF
CPLX0-8595,EG10143,b1735,chbR,EG12198@EG10144@EG10143@EG10142@EG10141@EG10140,EG12198@EG10144@EG10143@EG10142@EG10141@EG10140,EG12198@EG10144@EG10143@EG10142@EG10141@EG10140,DNA binding transcriptional dual regulator ChbR,ChbR,TF
G6569-MONOMER,G6569,b1111,comR,G6570,G6570,,DNA-binding transcriptional repressor ComR,ComR,TF
